company,date,payment_type,study,PI,payment
"Siemens Medical Solutions USA, Inc.",2016-01-27,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,17987.5
Abbott Laboratories,2016-01-28,Cash or cash equivalent,EVEREST II,217198,2835
Novartis Pharmaceuticals Corporation,2016-01-28,Cash or cash equivalent,A 24 MONTH RANDOMIZED CONTROLLED STUDY TO EVALUATE THE EFFICACY AND SAFETY OF CONCENTRATION CONTROLLED EVEROLIMUS PLUS REDUCED TACROLIMUS COMPARED TO STANDARD TACROLIMUS IN RECIPIENTS OF LIVING DONOR LIVER TRANSPLANTS,19951,52057.6
Novo Nordisk AS,2016-01-28,Cash or cash equivalent,NN7008-3809,500528,1419.2
"Actelion Pharmaceuticals US, Inc.",2016-01-29,Cash or cash equivalent,OPUS - AC-055-503,199176,2525
Edwards Lifesciences Corporation,2016-01-29,Cash or cash equivalent,The PARTNER Trial Placement of Aortic Transcatheter Valve Trial 2006-06,217198,2600
Edwards Lifesciences Corporation,2016-01-29,Cash or cash equivalent,The PARTNER II Trial Placement of Aortic Transcatheter Valve Trial 2010-12,123007,27400
"Genentech, Inc.",2016-01-29,Cash or cash equivalent,APDL1 BLADDER EAP,266016,11687
"Zimmer Biomet Holdings, Inc.",2016-01-29,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,2937.5
"Alkermes, Inc.",2016-02-01,In-kind items and services,"A Phase 2, Efficacy, Safety and Tolerability Study of ALKS 3831 in Schizophrenia With Alcohol Use Disorder",373291,75
Boston Scientific Corporation,2016-02-01,Cash or cash equivalent,STRATEGIC ASSESSMENT OF RANDOMIZED DEFIBRILLATION THERAPY US,187930,3105
"InSightec,LTD",2016-02-01,Cash or cash equivalent,A Continued Access Study to Evaluate the Effectiveness and Safety of ExAblate Transcranial MRgFUS Thalamotomy Treatment of Medication Refractory Essential Tremor Subjects,NA,123265
SANOFI US SERVICES INC.,2016-02-01,Cash or cash equivalent,Efficacy and Safety of SAR339658 in Patients With Moderate to Severe Ulcerative Colitis (FUSCIA),594186,1238
"Takeda Development Center Americas, Inc.",2016-02-02,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Phase 4, Relapse Prevention Study Evaluating the Efficacy and Safety of Vortioxetine 5, 10 and 20 mg in Adults With Major Depressive Disorder",316643,3750
"Takeda Development Center Americas, Inc.",2016-02-02,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Phase 4, Relapse Prevention Study Evaluating the Efficacy and Safety of Vortioxetine 5, 10 and 20 mg in Adults With Major Depressive Disorder",316643,8938
The Medicines Company,2016-02-03,Cash or cash equivalent,ENDOVASCULAR INTERVENTIONS WITH ANGIOMAX THE ENDOMAX TRIAL,NA,400
Novartis Pharmaceuticals Corporation,2016-02-04,Cash or cash equivalent,A RANDOMIZED OPEN LABEL PHASE II STUDY OF WEEKLY GEMCITABINE PLUS PAZOPANIB VERSUS WEEKLY GEMCITABINE ALONE IN THE TREATMENT OF PATIENTS WITH PERSISTENT OR RELAPSED EPITHELIAL OVARIAN FALLOPIAN TUBE OR PRIMARY PERITONEAL CARCINOMA,945020,1345796.49
Novo Nordisk AS,2016-02-04,Cash or cash equivalent,NN7008-3809,500528,2069.5
"Alexion Pharmaceuticals, Inc.",2016-02-05,Cash or cash equivalent,Atypcial Hemolytic-Uremic Syndrome aHUS Registry,244226,375
Bayer HealthCare Pharmaceuticals Inc.,2016-02-05,Cash or cash equivalent,BAY73 4506 eye drop wAMD,19168,3500
Vertex Pharmaceuticals Incorporated,2016-02-06,Cash or cash equivalent,A Study to Evaluate the Safety and Efficacy of VX-371 in Subjects With Cystic Fibrosis Who Are Homozygous for the F508del-CFTR Mutation,826949,7808.62
F. Hoffmann-La Roche AG,2016-02-08,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,3757
"Alexion Pharmaceuticals, Inc.",2016-02-09,Cash or cash equivalent,"A randomized, parallel-group, double-blind, placebo-controlled, multi-center study of eculizumab for the prevention of delayed graft function after kidney transplantation in adult subjects at increased risk of delayed graft function.",104164,8673
"Otsuka Pharmaceutical Development & Commercialization, Inc.",2016-02-10,Cash or cash equivalent,EFFICACY AND SAFETY OF TOLVAPTAN IN SUBJECTS WITH CHRONIC KIDNEY DISEASE BETWEEN LATE STAGE 2 TO EARLY STAGE 4 DUE TO AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE,279373,16464.34
"Siemens Medical Solutions USA, Inc.",2016-02-10,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,75.6
"St. Jude Medical, Inc.",2016-02-10,Cash or cash equivalent,SCORE,25612,625
The Medicines Company,2016-02-10,Cash or cash equivalent,ENDOVASCULAR INTERVENTIONS WITH ANGIOMAX THE ENDOMAX TRIAL,NA,400
The Medicines Company,2016-02-10,Cash or cash equivalent,ENDOVASCULAR INTERVENTIONS WITH ANGIOMAX THE ENDOMAX TRIAL,NA,400
Valeant Pharmaceuticals North America LLC,2016-02-10,Cash or cash equivalent,A REGISTRY OF SIPULEUCEL-T THERAPY IN MEN WITH ADVANCED PROSTATE CANCER,211357,185
Cook Research Incorporated,2016-02-11,Cash or cash equivalent,Evolution Biliary Fully Covered (Malignant),806291,380
Cook Research Incorporated,2016-02-11,Cash or cash equivalent,Zenith Transection,192614,150
Cook Research Incorporated,2016-02-11,Cash or cash equivalent,NA,NA,300
"E.R. Squibb & Sons, L.L.C.",2016-02-12,Cash or cash equivalent,Phase II Sequential Ipi Anti PD 1,157351,15618.99
"Genentech, Inc.",2016-02-15,Cash or cash equivalent,A PHASE III TRIAL IN ADJUVANT HER2 BC PTS,760719,6750
"AbbVie, Inc.",2016-02-16,Cash or cash equivalent,M14-011,596090,8697.27
Boston Scientific Corporation,2016-02-16,Cash or cash equivalent,CLINICAL EVALUATION OF THE BLAZER OPEN-IRRIGATED ABLATION CA,281489,306.25
Cook Research Incorporated,2016-02-16,Cash or cash equivalent,NA,NA,3700
Emergent Biosolutions Inc.,2016-02-16,Cash or cash equivalent,RSDL,824482,4e3
Pfizer Inc.,2016-02-16,Cash or cash equivalent,Safety and Efficacy of SA4Ag Vaccine in Adults Having Elective Open Posterior Spinal Fusion Procedures With Multilevel Instrumentation,31776,35215
Cook Research Incorporated,2016-02-18,Cash or cash equivalent,Zenith Dissection Endovascular System pivotal stud,124369,550
"Genentech, Inc.",2016-02-19,Cash or cash equivalent,A PHASE III MULTICENTER RANDOMIZED DOUBLE MASKED,19168,8293.25
"Zimmer Biomet Holdings, Inc.",2016-02-19,Cash or cash equivalent,MarrowStim PAD Kit Study,570554,6250
DePuy Orthopaedics Inc.,2016-02-23,Cash or cash equivalent,Radiographic and Clinical Evaluation of Surgical Treatment for Cervical Deformity.,147144,907.5
Pfizer Inc.,2016-02-23,Cash or cash equivalent,Safety and Efficacy of SA4Ag Vaccine in Adults Having Elective Open Posterior Spinal Fusion Procedures With Multilevel Instrumentation,31776,56396.31
AstraZeneca Pharmaceuticals LP,2016-02-24,Cash or cash equivalent,Randomised double blind parallel group multicentre phase IIIb study to compare ticagrelor with clopidogrel treatment on the risk of cardiovascular death myocardial infarction and ischaemic stroke in patients with established Peripheral Artery Disease EUCLID Examining Use of tiCagreLor In paD,82765,10802.5
Biotest Pharmaceuticals Corporation,2016-02-24,Cash or cash equivalent,HCIG to prevent Hep C recurrence in Liver transplant,NA,4800
SANOFI US SERVICES INC.,2016-02-24,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,2130
"Seattle Genetics, Inc.",2016-02-24,Cash or cash equivalent,SG0350014,366054,4745.5
"MicroVention, Inc.",2016-02-26,Cash or cash equivalent,HEAT,355275,1092
"AbbVie, Inc.",2016-02-29,Cash or cash equivalent,M13-740,594186,21795.75
Allergan Inc.,2016-02-29,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDE",81927,28414.5
"Carestream Health, Inc.",2016-03-01,Cash or cash equivalent,Vue search software,NA,83333
Kadmon Corporation LLC,2016-03-01,In-kind items and services,Long Term Treatment and Follow up of Subjects Completing 24 Months of Treatment with Tesevatinib on Study KD019 101 in Subjects with Autosomal Dominant Polycystic Kidney Disease,279373,1769.7
"E.R. Squibb & Sons, L.L.C.",2016-03-02,Cash or cash equivalent,Evaluating Nulojix Belatacept Long Term Safety in Transplant ENLIST,696729,3325
AstraZeneca Pharmaceuticals LP,2016-03-03,Cash or cash equivalent,NA,696192,1787115
Novartis Pharmaceuticals Corporation,2016-03-03,Cash or cash equivalent,A LONG TERM MULTICENTER NON INTERVENTIONAL OBSERVATIONAL STUDY MONITORING LONG TERM SAFETY AND EFFECTIVENESS OF GILENYATM FINGOLIMOD HALF OF A MG IN PATIENTS WITH MULTIPLE SCLEROSIS WHO HAVE PARTICIPATED IN THE FINGOLIMOD CLINICAL DEVELOPMENT PROGRAM,74842,4500
"Zimmer Biomet Holdings, Inc.",2016-03-03,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,7781
"Zimmer Biomet Holdings, Inc.",2016-03-03,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,7781
Abbott Laboratories,2016-03-04,Cash or cash equivalent,EVEREST II,217198,1417.5
"InSightec,LTD",2016-03-05,Cash or cash equivalent,A Continued Access Study to Evaluate the Effectiveness and Safety of ExAblate Transcranial MRgFUS Thalamotomy Treatment of Medication Refractory Essential Tremor Subjects,NA,91029
Allergan Inc.,2016-03-07,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,NA,3743
Boston Scientific Corporation,2016-03-07,Cash or cash equivalent,STRATEGIC ASSESSMENT OF RANDOMIZED DEFIBRILLATION THERAPY US,187930,1545
Celgene Corporation,2016-03-07,Cash or cash equivalent,ABI-007-PANC-003,875821,19141.56
Terumo Medical Corporation,2016-03-08,Cash or cash equivalent,OSPREY SFA,300280,3e3
"Siemens Medical Solutions USA, Inc.",2016-03-09,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,75.6
Purdue Pharma,2016-03-10,Cash or cash equivalent,063-013,NA,14591.17
"Actelion Pharmaceuticals US, Inc.",2016-03-11,Cash or cash equivalent,QUERI ACHD - AC-052433 USA,475119,200
"InSightec,Inc",2016-03-11,Cash or cash equivalent,PD003,549431,7800
"Janssen Research & Development, LLC",2016-03-11,Cash or cash equivalent,"An OPen-label, Randomized, Controlled, Multicenter Study ExplorIng TwO TreatmeNt StratEgiEs of Rivaroxaban versus Dose-Adjusted Oral Vitamin K Antagonist in Subjects With Atrial Fibrillation Who Undergo Percutaneous Coronary Intervention (PIONEER AF-PCI)",601536,3189
Cook Research Incorporated,2016-03-15,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,294839,250
GENZYME CORPORATION,2016-03-15,Cash or cash equivalent,data entry registry Pompe LSD,NA,150
GENZYME CORPORATION,2016-03-15,Cash or cash equivalent,data entry registry MPS1 LSD,NA,850
GENZYME CORPORATION,2016-03-15,Cash or cash equivalent,data entry registry Gaucher LSD,NA,200
GENZYME CORPORATION,2016-03-15,Cash or cash equivalent,data entry registry Fabry LSD,NA,925
Celgene Corporation,2016-03-16,Cash or cash equivalent,CC-5013-MCL-001,57874,1508
"NEUROPACE, INC.",2016-03-16,Cash or cash equivalent,RNS System Long-term Treatment Clinical Investigation,164924,1175
"Siemens Medical Solutions USA, Inc.",2016-03-16,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,8150
"Teva Pharmaceuticals USA, Inc.",2016-03-16,Cash or cash equivalent,C18083/3064/NL/MN,535876,980
"AbbVie, Inc.",2016-03-21,Cash or cash equivalent,M14-011,596090,10801.86
"Genentech, Inc.",2016-03-21,Cash or cash equivalent,AVENUE,250079,7892
"Otsuka Pharmaceutical Development & Commercialization, Inc.",2016-03-21,Cash or cash equivalent,OPEN-LABEL TRIAL TO EVALUATE THE LONG TERM SAFETY OF TITRATED IMMEDIATE-RELEASE TOLVAPTAN IN SUBJECTS WITH AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE,279373,12133.11
Cook Research Incorporated,2016-03-23,Cash or cash equivalent,NA,NA,6676.01
"Siemens Medical Solutions USA, Inc.",2016-03-23,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,8150
Terumo Medical Corporation,2016-03-24,Cash or cash equivalent,OSPREY SFA,300280,6200
Daiichi Sankyo Company LTD,2016-03-25,Cash or cash equivalent,NA,594334,5e5
"Genentech, Inc.",2016-03-25,Cash or cash equivalent,A PHASE III MULTICENTER RANDOMIZED DOUBLE MASKED,19168,3240
"AbbVie, Inc.",2016-03-28,Cash or cash equivalent,M14-360,1194702,3998.75
NOVARTIS PHARMACEUTICALS CORPORATION,2016-03-28,Cash or cash equivalent,A phase II study of ofatumumab based induction chemoimmunotherapy followed by consolidation ofatumumab immunotherapy in previously untreated patients with chronic lymphocytic leukemia small lymphocytic lymphoma,NA,606.02
NOVARTIS PHARMACEUTICALS CORPORATION,2016-03-28,Cash or cash equivalent,A phase II study of ofatumumab based induction chemoimmunotherapy followed by consolidation ofatumumab immunotherapy in previously untreated patients with chronic lymphocytic leukemia small lymphocytic lymphoma,NA,2e4
NOVARTIS PHARMACEUTICALS CORPORATION,2016-03-28,Cash or cash equivalent,A phase II study of ofatumumab based induction chemoimmunotherapy followed by consolidation ofatumumab immunotherapy in previously untreated patients with chronic lymphocytic leukemia small lymphocytic lymphoma,NA,2e4
SANOFI US SERVICES INC.,2016-03-28,Cash or cash equivalent,ODYSSEY Outcomes: Evaluation of Cardiovascular Outcomes After an Acute Coronary Syndrome During Treatment With Alirocumab SAR236553 (REGN727),NA,137.14
Novo Nordisk AS,2016-03-29,Cash or cash equivalent,NN7008-3809,500528,1419.2
Pfizer Inc.,2016-03-29,Cash or cash equivalent,Safety and Efficacy of SA4Ag Vaccine in Adults Having Elective Open Posterior Spinal Fusion Procedures With Multilevel Instrumentation,31776,48936.92
"Zimmer Biomet Holdings, Inc.",2016-03-29,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,6375
"InSightec,LTD",2016-03-30,Cash or cash equivalent,Focal MR-Guided Focused Ultrasound Treatment of Localized Low-Risk Prostate Cancer,195111,15625
SANOFI US SERVICES INC.,2016-03-30,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,4380
CorMatrix Cardiovascular Inc.,2016-03-31,Cash or cash equivalent,Carotid Registry,188640,1428.75
Abbott Laboratories,2016-04-01,Cash or cash equivalent,EVEREST II,217198,1282.5
"E.R. Squibb & Sons, L.L.C.",2016-04-01,Cash or cash equivalent,Evaluation of the Benefits and Risks in Maintenance Renal Transplant Recipients Following Conversion to Nulojix Belatacept Based Immunosuppression,696729,90413.71
Boston Scientific Corporation,2016-04-04,Cash or cash equivalent,STRATEGIC ASSESSMENT OF RANDOMIZED DEFIBRILLATION THERAPY US,187930,2945
Eli Lilly and Company,2016-04-04,Cash or cash equivalent,ASSESSMENT OF CLINICAL EFFECTS OF CHOLESTERYL ESTER TRANSFER PROTEIN INHIBITION WITH EVACETRAPIB IN PATIENTS AT A HIGH RISK FOR VASCULAR OUTCOMES,1043167,1466
"MicroVention, Inc.",2016-04-04,Cash or cash equivalent,HEAT,355275,693
BIOTRONIK INC.,2016-04-06,Cash or cash equivalent,BIOFLOW-V,601536,42995.59
Purdue Pharma,2016-04-07,Cash or cash equivalent,063-013,NA,80266.25
"E.R. Squibb & Sons, L.L.C.",2016-04-08,Cash or cash equivalent,Phase III Adjuvant Melanoma,812566,96792.62
"AbbVie, Inc.",2016-04-11,Cash or cash equivalent,M14-360,1194702,5900
Elekta Instrument AB,2016-04-11,Cash or cash equivalent,Dose distortions due to embolic agents,NA,3e4
Pfizer Inc.,2016-04-12,Cash or cash equivalent,Study Of The Blood Thinner Apixaban For Patients Who Have An Abnormal Heart Rhythm Atrial Fibrillation And Expected To Have Treatment To Put Them Back Into A Normal Heart Rhythm Cardioversion,198456,937.5
"AbbVie, Inc.",2016-04-13,Cash or cash equivalent,M13-740,594186,5467.5
"Siemens Medical Solutions USA, Inc.",2016-04-13,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,75.6
"Siemens Medical Solutions USA, Inc.",2016-04-13,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,18741.5
"St. Jude Medical, Inc.",2016-04-13,Cash or cash equivalent,ADVANCE ASO,217198,10805.25
"Zimmer Biomet Holdings, Inc.",2016-04-14,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,7781
"W. L. Gore & Associates, Inc.",2016-04-15,Cash or cash equivalent,GORE HELEX  Septal Occluder  GORE  Septal Occluder and Antiplatelet Medical Management for Reduction of Recurrent Stroke or Imaging Confirmed TIA in Patients with Patent Foramen Ovale PFO,220413,3125
Boston Scientific Corporation,2016-04-18,Cash or cash equivalent,CLINICAL EVALUATION OF THE BLAZER OPEN-IRRIGATED ABLATION CA,281489,170
Boston Scientific Corporation,2016-04-18,Cash or cash equivalent,STRATEGIC ASSESSMENT OF RANDOMIZED DEFIBRILLATION THERAPY US,187930,1880
"Genentech, Inc.",2016-04-18,Cash or cash equivalent,A PHASE III TRIAL IN ADJUVANT HER2 BC PTS,760719,2250
"Rivanna Medical, LLC",2016-04-18,Cash or cash equivalent,MD-ANES Low-Cost Handheld Medical Device for Neuroaxial Anesthesia Guidance in the Obese,NA,68437
SANOFI US SERVICES INC.,2016-04-18,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,700
Pfizer Inc.,2016-04-19,Cash or cash equivalent,Safety and Efficacy of SA4Ag Vaccine in Adults Having Elective Open Posterior Spinal Fusion Procedures With Multilevel Instrumentation,31776,22100
"Alkermes, Inc.",2016-04-20,Cash or cash equivalent,"A Phase 2, Efficacy, Safety and Tolerability Study of ALKS 3831 in Schizophrenia With Alcohol Use Disorder",373291,2515
"Alkermes, Inc.",2016-04-20,Cash or cash equivalent,"A Phase 2, Efficacy, Safety and Tolerability Study of ALKS 3831 in Schizophrenia With Alcohol Use Disorder",373291,3525
F. Hoffmann-La Roche AG,2016-04-20,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,12152.75
Edwards Lifesciences Corporation,2016-04-22,Cash or cash equivalent,The PARTNER Trial Placement of Aortic Transcatheter Valve Trial 2006-06,217198,2400
Edwards Lifesciences Corporation,2016-04-22,Cash or cash equivalent,The PARTNER II Trial Placement of Aortic Transcatheter Valve Trial 2010-12,123007,14400
Edwards Lifesciences Corporation,2016-04-22,Cash or cash equivalent,The PARTNER II Trial Placement of Aortic Transcatheter Valve Trial 2010-12,123007,71e3
The Medicines Company,2016-04-22,Cash or cash equivalent,ENDOVASCULAR INTERVENTIONS WITH ANGIOMAX THE ENDOMAX TRIAL,NA,250
Allergan Inc.,2016-04-25,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,250
Allergan Inc.,2016-04-25,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,125
Allergan Inc.,2016-04-25,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,5
Allergan Inc.,2016-04-25,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,36
