id,label,value,source,leaning
179,dewar.journalspace.com,0,eTalkingHead,liberal
180,digbysblog.blogspot.com,0,"BlogPulse,LeftyDirectory",liberal
181,digestiblenews.blogspot.com,0,Blogarama,liberal
182,digital-democrat.blogspot.com,0,Blogarama,liberal
183,digitaldissent.blogspot.com,0,eTalkingHead,liberal
184,digitaljay.blogspot.com,0,"LeftyDirectory,eTalkingHead",liberal
185,dimmykarras.blogspot.com,0,eTalkingHead,liberal
186,dir.salon.com/topics/joe_conason/index.html,0,LabeledManually,liberal
187,discourse.net,0,BlogPulse,liberal
188,diypolitics.blogdrive.com,0,Blogarama,liberal
189,dneiwert.blogspot.com,0,"LeftyDirectory,eTalkingHead",liberal
190,dogfight04.typepad.com,0,eTalkingHead,liberal
191,dohiyimir.typepad.com,0,LabeledManually,liberal
192,dolphinsdock.com/blog,0,"Blogarama,LeftyDirectory,BlogCatalog,eTalkingHead",liberal
193,donkey2004.blogspot.com,0,"Blogarama,LeftyDirectory,BlogCatalog",liberal
194,donspoliticalblog.blogspot.com,0,Blogarama,liberal
195,doublespeakez.blogspot.com,0,Blogarama,liberal
196,doubter.blogspot.com,0,eTalkingHead,liberal
197,drugwarmovie.com/drugwarmovie/weblog/blogger.html,0,Blogarama,liberal
198,duckdaotsu.blogspot.com,0,Blogarama,liberal
199,dygital.blogspot.com,0,BlogCatalog,liberal
200,dystopia.blog-city.com,0,"Blogarama,LeftyDirectory",liberal
201,eastbaykerry.com,0,Blogarama,liberal
202,elayneriggs.blogspot.com,0,LeftyDirectory,liberal
203,elderbearden.blogspot.com,0,Blogarama,liberal
204,electablog.com,0,BlogPulse,liberal
205,elemming2.blogspot.com,0,"Blogarama,LeftyDirectory",liberal
206,elfoflight.blogspot.com,0,BlogCatalog,liberal
207,elissa.typepad.com,0,BlogCatalog,liberal
208,eltcamerica.blogspot.com,0,Blogarama,liberal
209,emergingdemocraticmajority.com,0,LabeledManually,liberal
210,emergingdemocraticmajorityweblog.com/donkeyrising,0,LabeledManually,liberal
211,emptyisform.com,0,Blogarama,liberal
212,endthenightmare.blogspot.com,0,"Blogarama,eTalkingHead",liberal
213,enemykombatant.blogspot.com,0,BlogCatalog,liberal
214,enlightenedbelle.blogspot.com,0,Blogarama,liberal
215,ergio.blogspot.com,0,eTalkingHead,liberal
216,estropundit.blogspot.com,0,eTalkingHead,liberal
217,etherealgirl.blogspot.com,0,Blogarama,liberal
218,fafblog.blogspot.com,0,LeftyDirectory,liberal
219,fairshot.org,0,Blogarama,liberal
220,farleft.blogspot.com,0,eTalkingHead,liberal
221,fidlet.com,0,Blogarama,liberal
222,fiercepoet.com,0,BlogCatalog,liberal
223,flagrancy.net,0,"Blogarama,LeftyDirectory",liberal
224,folkbum.blogspot.com,0,"Blogarama,LeftyDirectory",liberal
225,forewarned.blogspot.com,0,eTalkingHead,liberal
226,freakinliberals.com/blog_a,0,"Blogarama,BlogCatalog",liberal
227,frederickclarkson.com,0,"Blogarama,eTalkingHead",liberal
228,freedompress.blogspot.com,0,Blogarama,liberal
229,fromtheroots.org,0,CampaignLine,liberal
230,fuckthisblog.blogspot.com,0,Blogarama,liberal
231,futuraworkz.com,0,BlogCatalog,liberal
232,gabeanderson.com/life,0,Blogarama,liberal
233,gadflyer.com,0,LabeledManually,liberal
234,gaijincory.com,0,BlogCatalog,liberal
235,garbage-house.com,0,Blogarama,liberal
236,garrulus.ilcannocchiale.it,0,BlogCatalog,liberal
237,georgewbuy.blogspot.com,0,CampaignLine,liberal
238,gisleson.com/blog,0,"Blogarama,CampaignLine",liberal
239,global-equality.org/news/blog/index.shtml,0,"Blogarama,eTalkingHead",liberal
240,gloomanddoom.blogspot.com,0,"Blogarama,BlogCatalog",liberal
241,goose3five.blogspot.com,0,"Blogarama,LeftyDirectory,BlogCatalog",liberal
242,gotzfamily.org/weblog,0,Blogarama,liberal
243,grassrootsmom.blogspot.com,0,CampaignLine,liberal
244,grassrootsnation.com,0,eTalkingHead,liberal
245,greaterdemocracy.org,0,CampaignLine,liberal
246,greendogdemocrat.blogspot.com,0,CampaignLine,liberal
247,greentit.com,0,Blogarama,liberal
248,gregpalast.com,0,LabeledManually,liberal
249,grupo-utopia.com/blog/isou,0,LabeledManually,liberal
250,hal9000report.blogdrive.com,0,BlogCatalog,liberal
251,halcyondays.info,0,eTalkingHead,liberal
252,hategun.com,0,BlogCatalog,liberal
253,hellafaded.blogspot.com,0,Blogarama,liberal
254,hellofromparis.blogspot.com,0,eTalkingHead,liberal
255,hellskitchennyc.blogspot.com,0,BlogCatalog,liberal
256,hereswhatsleft.typepad.com,0,eTalkingHead,liberal
257,hereswhatsleft.typepad.com/home,0,"Blogarama,LeftyDirectory",liberal
258,heysucka.blogspot.com,0,Blogarama,liberal
259,higherpieproductions.com,0,"Blogarama,LeftyDirectory,BlogCatalog,LabeledManually",liberal
260,hoeffelforsenate.com/blog,0,CampaignLine,liberal
261,home.att.net/~dbarnhill,0,Blogarama,liberal
262,home.att.net/~gentle.reader,0,LabeledManually,liberal
263,home.earthlink.net/~cdowner,0,Blogarama,liberal
264,home.earthlink.net/~fsrhine,0,"Blogarama,LeftyDirectory,LabeledManually",liberal
265,home.earthlink.net/~heavy-duty,0,Blogarama,liberal
266,home.earthlink.net/~juris_doctor_szh,0,Blogarama,liberal
267,home.earthlink.net/~kevin.omeara,0,Blogarama,liberal
268,home.houston.rr.com/skeptical,0,Blogarama,liberal
269,homepage.mac.com/elisa_camahort/iblog,0,BlogCatalog,liberal
270,homepage.mac.com/georgia.nesmith/iblog/index.html,0,Blogarama,liberal
271,homepage.mac.com/jpbarr/myblog,0,Blogarama,liberal
272,hotflashesfromthecampaigntrail.blogspot.com,0,CampaignLine,liberal
273,hotflashreport.com,0,eTalkingHead,liberal
274,howienfriends.blogspot.com,0,Blogarama,liberal
275,hugozoom.blogspot.com,0,"Blogarama,LeftyDirectory",liberal
276,ibe.blogspot.com,0,"Blogarama,BlogCatalog",liberal
277,ibrutus.com,0,"Blogarama,BlogCatalog",liberal
278,iddybud.blogspot.com,0,"Blogarama,LeftyDirectory,eTalkingHead",liberal
279,idiosyncratictendencies.com,0,Blogarama,liberal
280,idlehandsmag.com/yellowdog04,0,BlogCatalog,liberal
281,iflipflop.com,0,Blogarama,liberal
282,ignatz.blogspot.com,0,Blogarama,liberal
283,ihatepatrobertson.com,0,"Blogarama,BlogCatalog,CampaignLine",liberal
284,ilovecynics.com,0,Blogarama,liberal
285,in-sub-ordination.blogspot.com,0,Blogarama,liberal
286,inez2004.com/blogs,0,CampaignLine,liberal
287,insanepreschoolmom.blogspot.com,0,BlogCatalog,liberal
288,interestingtimes.blogspot.com,0,LabeledManually,liberal
289,interestingtimes.typepad.com,0,"Blogarama,eTalkingHead",liberal
290,ironmouth.com,0,eTalkingHead,liberal
291,irregulartimes.com/blogger.html,0,"Blogarama,LeftyDirectory",liberal
292,islanddave.blogspot.com,0,Blogarama,liberal
293,itlookslikethis.blogeasy.com,0,Blogarama,liberal
294,itsabitmuch.blogspot.com,0,Blogarama,liberal
295,ivotedforgeorge.com,0,eTalkingHead,liberal
296,iwantmycountryback.org,0,"eTalkingHead,CampaignLine",liberal
297,j-bradford-delong.net/movable_type,0,"LeftyDirectory,eTalkingHead",liberal
298,jadbury.com,0,BlogCatalog,liberal
299,jadbury.com/blog,0,"LeftyDirectory,eTalkingHead",liberal
300,jadedreality.blogspot.com,0,"Blogarama,BlogCatalog",liberal
301,jameswolcott.com,0,LeftyDirectory,liberal
302,jamiefeyrer.com,0,Blogarama,liberal
303,janm.blogspot.com,0,Blogarama,liberal
304,jason.unitedworkers.org,0,Blogarama,liberal
305,jbcougar.blogspot.com,0,Blogarama,liberal
306,jcchurch.blogspot.com,0,Blogarama,liberal
307,jdeeth.blogspot.com,0,"Blogarama,BlogCatalog",liberal
308,jeremybrendan.blogspot.com,0,BlogCatalog,liberal
309,jetage.blogspot.com,0,Blogarama,liberal
310,jewssansfrontieres.blogspot.com,0,Blogarama,liberal
311,jimgilliam.com,0,"Blogarama,BlogCatalog",liberal
312,jimtreacher.com,0,LeftyDirectory,liberal
313,jinkythecat.blogspot.com,0,Blogarama,liberal
314,jmbzine.com,0,Blogarama,liberal
315,joebrent.blogspot.com,0,Blogarama,liberal
316,john.hoke.org,0,BlogCatalog,liberal
317,johnmccrory.com,0,"Blogarama,LeftyDirectory",liberal
318,johnnynobody.blogspot.com,0,Blogarama,liberal
319,jointhecrowd.blogspot.com,0,Blogarama,liberal
320,jospehsmind.blogspot.com,0,BlogCatalog,liberal
321,journals.aol.com/breuvers/madashellnotgoingtotakeitanymore,0,Blogarama,liberal
322,jpandre.blogspot.com,0,eTalkingHead,liberal
323,juancole.com,0,"BlogPulse,eTalkingHead",liberal
324,juandejesus.50megs.com/juancomments.html,0,Blogarama,liberal
325,julietterossant.com/superchefblog/superchefblog.html,0,eTalkingHead,liberal
326,juliusblog.blogspot.com,0,BlogPulse,liberal
327,justmark.com,0,Blogarama,liberal
328,karlhenderson.blogspot.com,0,Blogarama,liberal
329,karmicsoup.blogspot.com,0,BlogCatalog,liberal
330,katyggls.blogspot.com,0,BlogCatalog,liberal
331,kcdems.blogspot.com,0,CampaignLine,liberal
332,kensain.com,0,Blogarama,liberal
333,kerryforpresident2008.blogspot.com,0,Blogarama,liberal
334,kerrytalkingpoints.blogspot.com,0,Blogarama,liberal
335,kicktheleftist.blogspot.com,0,eTalkingHead,liberal
336,kiersten.connersax.com,0,BlogCatalog,liberal
337,kiosan.blogharbor.com,0,"Blogarama,LeftyDirectory",liberal
338,kippsblog.com,0,Blogarama,liberal
339,kristyandotherwise.blogspot.com,0,Blogarama,liberal
340,kurtkk.blogspot.com,0,Blogarama,liberal
341,kydem.blogspot.com,0,"Blogarama,CampaignLine",liberal
342,labandadelbuko.ilcannocchiale.it,0,BlogCatalog,liberal
343,lagernik.blogspot.com,0,Blogarama,liberal
344,lastdaysoftherepublic.fatoprofugus.net,0,Blogarama,liberal
345,lawdork.blogspot.com,0,"LeftyDirectory,eTalkingHead",liberal
346,laylasblog.com,0,Blogarama,liberal
347,leanleft.com,0,LeftyDirectory,liberal
348,leavethematrix.blogspot.com,0,BlogCatalog,liberal
349,left2right.typepad.com,0,Blogarama,liberal
350,lefterer.com,0,"Blogarama,LeftyDirectory",liberal
351,lefti.blogspot.com,0,"LeftyDirectory,LabeledManually",liberal
352,leftinthereign.blogspot.com,0,Blogarama,liberal
353,leftthought.blogspot.com,0,"Blogarama,LeftyDirectory",liberal
354,lefttimes.com,0,"Blogarama,LeftyDirectory",liberal
355,leftwingnation.com,0,Blogarama,liberal
356,lendmesomesugar.blogs.com/shut_up_already,0,Blogarama,liberal
357,lennonreport.blogspot.com,0,CampaignLine,liberal
358,leonards-digest.blogspot.com,0,"Blogarama,LeftyDirectory,BlogCatalog",liberal
359,lettherebepeace.blogspot.com,0,Blogarama,liberal
360,liberalangst.org,0,Blogarama,liberal
361,liberalavenger.com,0,Blogarama,liberal
362,liberaleric.blogspot.com,0,Blogarama,liberal
363,liberaloasis.com,0,"LeftyDirectory,LabeledManually,CampaignLine",liberal
364,liberalreview.blogspot.com,0,Blogarama,liberal
365,liberalthunderdome.blogspot.com,0,BlogCatalog,liberal
366,liberationlearning.blogspot.com,0,Blogarama,liberal
367,lightupthedarkness.org,0,CampaignLine,liberal
368,lightupthedarkness.org/blog/default.asp,0,BlogCatalog,liberal
369,limecoconut.blogspot.com,0,Blogarama,liberal
370,limericksavant.blogspot.com,0,"Blogarama,LeftyDirectory,BlogCatalog,eTalkingHead",liberal
371,liquidlist.com,0,"Blogarama,LeftyDirectory",liberal
372,literarybargainville.net,0,Blogarama,liberal
373,livejournal.com/users/hoptkov,0,Blogarama,liberal
374,livejournal.com/users/jmhm,0,LeftyDirectory,liberal
375,livejournal.com/~dailyapple,0,Blogarama,liberal
376,livejournal.com/~ladywriter_mts,0,Blogarama,liberal
377,loadedmouth.com,0,"Blogarama,eTalkingHead",liberal
378,lorenjavier.blogspot.com,0,Blogarama,liberal
379,loud-liberal.blogspot.com,0,Blogarama,liberal
380,loveamericahatebush.com,0,Blogarama,liberal
381,lowrentrat.blogdrive.com,0,"Blogarama,eTalkingHead",liberal
382,ltobs.blogspot.com,0,Blogarama,liberal
383,ludis.blogspot.com,0,Blogarama,liberal
384,ludovicspeaks.typepad.com,0,"Blogarama,eTalkingHead",liberal
385,ludovicspeaks.typepad.com/real_deal,0,Blogarama,liberal
386,madamepresident2020.blogspot.com,0,Blogarama,liberal
387,madkane.com/notable.html,0,"LeftyDirectory,BlogCatalog,eTalkingHead,CampaignLine",liberal
388,maggiespants.co.uk,0,eTalkingHead,liberal
389,mahablog.com,0,LabeledManually,liberal
390,marcbrazeau.blogspot.com,0,Blogarama,liberal
391,margaretcho.com/blog/blog.htm,0,LabeledManually,liberal
392,margieburns.com,0,BlogCatalog,liberal
393,markadams.blogdrive.com,0,"Blogarama,LeftyDirectory,eTalkingHead",liberal
394,markarkleiman.com,0,eTalkingHead,liberal
395,markch.blogspot.com,0,BlogCatalog,liberal
396,markschmitt.typepad.com/decembrist,0,LeftyDirectory,liberal
397,markwarnerforpresident2008.blogspot.com,0,CampaignLine,liberal
398,martadonayre.com,0,Blogarama,liberal
399,maruthecrankpot.blogspot.com,0,LeftyDirectory,liberal
400,massachusetts-liberal.com,0,Blogarama,liberal
401,mathewgross.com,0,BlogPulse,liberal
402,mathewgross.com/blog,0,CampaignLine,liberal
403,matthewyglesias.com,0,LeftyDirectory,liberal
404,maultasch.us,0,Blogarama,liberal
405,maxspeak.org/mt,0,Blogarama,liberal
406,mayflowerhill.blogspot.com,0,eTalkingHead,liberal
407,mcwil.blogspot.com,0,BlogCatalog,liberal
408,meanspirit.blogspot.com,0,BlogCatalog,liberal
409,meateatingleftist.com,0,"Blogarama,BlogCatalog",liberal
410,mediajunkie.com/edgewise,0,CampaignLine,liberal
411,mediaprima.com/nv1962,0,"Blogarama,BlogCatalog",liberal
412,members.aol.com/ourprez08,0,CampaignLine,liberal
413,members.cox.net/aaronjohn,0,Blogarama,liberal
414,messengerpuppet.com/blog,0,BlogCatalog,liberal
415,metropol47.blogspot.com,0,Blogarama,liberal
416,michael124.blogspot.com,0,Blogarama,liberal
417,michaelberube.com,0,LeftyDirectory,liberal
418,michaelphillips.blogspot.com,0,BlogCatalog,liberal
419,mickikrimmel.com/redcarpet,0,BlogCatalog,liberal
420,midguard.blogspot.com,0,Blogarama,liberal
421,minagahet.blogspot.com,0,Blogarama,liberal
422,mirocat.com,0,Blogarama,liberal
423,miss-sassafras.com,0,BlogCatalog,liberal
424,misschin.bloggage.com,0,BlogCatalog,liberal
425,missourikid.blog-city.com,0,Blogarama,liberal
426,mixtersmix.blogspot.com,0,Blogarama,liberal
427,montages.blogspot.com,0,Blogarama,liberal
428,moxiegrrrl.com,0,BlogCatalog,liberal
429,mrleft.org,0,"Blogarama,LeftyDirectory,BlogCatalog,eTalkingHead,CampaignLine",liberal
430,mrstevebeers.blogspot.com,0,Blogarama,liberal
431,msnbc.msn.com/id/3449870,0,LabeledManually,liberal
432,mstabile.blogspot.com,0,"LeftyDirectory,eTalkingHead",liberal
433,multitudes.typepad.com,0,Blogarama,liberal
434,mydd.com,0,"LeftyDirectory,LabeledManually,eTalkingHead",liberal
435,myducksoup.com/blog/bloglib/bloglib.shtml,0,Blogarama,liberal
436,myleftbrain.com,0,"LeftyDirectory,BlogCatalog,eTalkingHead",liberal
437,myleftthoughts.blogspot.com,0,Blogarama,liberal
438,mysterypollster.com/main,0,LabeledManually,liberal
439,nastyboys.blogspot.com,0,"Blogarama,LeftyDirectory",liberal
440,nathancallahan.com,0,eTalkingHead,liberal
441,nathannewman.org/log,0,"LeftyDirectory,LabeledManually",liberal
442,nationalreview.com/frum/frum-diary.asp,0,CampaignLine,liberal
443,ndnblog.org,0,LabeledManually,liberal
444,nearouterheaven.blogspot.com,0,"Blogarama,LeftyDirectory",liberal
445,nebursworld.blogspot.com,0,Blogarama,liberal
446,needlenose.com,0,"Blogarama,LeftyDirectory,BlogCatalog",liberal
447,nephandus.com/blog.php,0,Blogarama,liberal
448,nerofiddled.blogspot.com,0,"Blogarama,BlogCatalog",liberal
449,netpolitik.blogspot.com,0,Blogarama,liberal
450,netweed.com/postmodernanarchist,0,Blogarama,liberal
451,newappeal.blogspot.com,0,LabeledManually,liberal
452,newdemocrat.blogdrive.com,0,CampaignLine,liberal
453,newdonkey.com,0,"LabeledManually,CampaignLine",liberal
454,newleftblogs.blogspot.com,0,LabeledManually,liberal
455,news-opinion.blog-city.com,0,Blogarama,liberal
456,newstrolls.com,0,Blogarama,liberal
457,nftl.blogspot.com,0,Blogarama,liberal
458,niagarabuzz.com,0,Blogarama,liberal
459,nickgerman.blogspot.com,0,Blogarama,liberal
460,nielsenhayden.com/electrolite,0,LeftyDirectory,liberal
461,nielsenhayden.com/makinglight,0,LeftyDirectory,liberal
462,njfordemocracy.org,0,BlogCatalog,liberal
463,njn-blogogram.blogspot.com,0,Blogarama,liberal
464,njsoccermom.blogspot.com,0,"Blogarama,BlogCatalog",liberal
465,node707.com,0,Blogarama,liberal
466,nofearoffreedom.blogspot.com,0,"Blogarama,LeftyDirectory",liberal
467,nomoremister.blogspot.com,0,LabeledManually,liberal
468,norbizness.com,0,LabeledManually,liberal
469,noseyonline.com,0,"Blogarama,LeftyDirectory,eTalkingHead",liberal
470,nosmallplans.com/rants,0,CampaignLine,liberal
471,notbush.com,0,CampaignLine,liberal
472,notgeniuses.com,0,CampaignLine,liberal
473,nuntius.blogspot.com,0,Blogarama,liberal
474,nycitystoop.com,0,Blogarama,liberal
