id,Recency,Frequency,Monetary
162,115,13,1197
163,133,11,1087
164,24,10,1048
165,110,7,568
166,75,10,1046
167,500,5,291
168,158,10,1079
169,18,7,980
170,207,9,1077
171,61,6,696
172,15,14,1182
173,185,12,1245
174,250,11,1336
175,396,11,839
176,128,9,897
177,199,12,1188
178,215,12,723
179,213,11,1302
180,43,14,1363
181,182,13,1178
182,435,5,524
183,355,12,1211
184,136,10,939
185,6,8,777
186,192,7,532
187,188,9,1144
188,84,13,1302
189,225,8,778
190,278,9,711
191,435,7,446
192,91,15,1304
193,68,12,1267
194,102,16,1336
195,27,10,963
196,27,13,1542
197,4,7,574
198,42,9,797
199,287,9,508
200,344,8,564
201,137,9,809
202,84,10,1101
203,206,13,1628
204,124,14,1422
205,167,14,1082
206,135,10,918
207,50,9,733
208,181,7,610
209,50,9,637
210,126,11,1155
211,81,15,1161
212,28,9,982
213,181,11,622
214,60,8,779
215,469,4,350
216,95,11,1111
217,58,11,1096
218,353,6,448
219,227,11,996
220,196,7,555
221,125,11,1128
222,67,12,960
223,18,13,1640
224,169,8,713
225,116,9,851
226,133,10,999
227,476,6,468
228,102,11,1192
229,181,8,924
230,79,12,1050
231,263,10,942
232,268,12,1033
233,203,13,1146
234,487,8,952
235,250,10,1122
236,86,6,748
237,524,10,1132
238,92,13,1493
239,155,11,926
240,207,5,553
241,263,6,445
242,56,12,1291
243,141,8,870
244,240,7,868
245,457,12,1217
246,50,8,663
247,150,11,1151
248,122,11,981
249,48,12,1410
250,155,12,796
251,265,5,426
252,92,10,1004
253,277,13,1168
254,163,9,679
255,84,15,1418
256,246,9,786
257,241,12,1369
258,533,5,600
259,93,10,963
260,234,8,832
261,241,7,573
262,312,5,361
263,380,8,726
264,91,16,1763
265,269,11,1201
266,170,9,815
267,93,9,873
268,4,15,1381
269,694,5,533
270,369,9,1192
271,458,10,1075
272,107,9,696
273,263,11,1071
274,146,13,1681
275,186,10,645
276,101,14,1147
277,52,8,751
278,138,8,822
279,35,12,1214
280,167,9,778
281,148,12,1061
282,114,5,543
283,115,10,875
284,359,10,559
285,303,7,674
286,208,8,436
287,6,8,733
288,106,9,698
289,124,11,1471
290,95,11,1043
291,121,13,1215
292,295,9,565
293,135,8,529
294,251,7,716
295,289,6,656
296,243,12,1362
297,110,14,1457
298,68,7,866
299,112,15,1758
300,138,8,484
301,103,17,1016
302,98,7,618
303,55,11,1393
304,41,12,1274
305,398,11,1256
306,13,11,907
307,161,14,1230
308,200,6,568
309,390,6,624
310,232,6,417
311,144,13,1477
312,89,12,1255
313,29,6,507
314,127,7,799
315,163,10,968
316,471,7,847
317,52,14,942
318,82,13,1381
319,490,7,392
320,432,5,368
321,113,10,970
322,88,9,996
323,173,9,1041
324,276,13,1112
325,199,8,980
326,205,6,479
327,90,10,939
328,166,11,1179
329,128,9,965
330,454,5,500
331,331,7,1012
332,56,12,1524
333,111,8,765
334,143,9,732
335,268,6,562
336,77,10,864
337,117,11,1185
338,113,6,335
339,166,12,1067
340,18,13,1130
341,481,7,887
342,91,6,680
343,422,4,340
344,41,7,831
345,224,12,941
346,358,12,1386
347,425,10,911
348,125,12,1026
349,485,9,1296
350,393,8,981
351,434,6,520
352,170,9,677
353,367,7,798
354,112,6,688
355,57,10,993
356,84,16,1799
357,177,17,1380
358,146,10,855
359,124,12,859
360,42,11,1089
361,179,15,1183
362,175,8,571
363,41,14,1292
364,43,11,1091
365,33,12,1227
366,160,5,238
367,209,11,917
368,39,10,981
369,174,7,785
370,66,9,485
371,69,10,831
372,147,6,553
373,154,13,1286
374,60,10,834
375,139,12,1080
376,144,12,1050
377,188,12,933
378,72,9,795
379,98,8,718
380,120,9,647
381,152,9,672
382,113,11,1453
383,509,7,577
384,107,11,1082
385,162,7,734
386,198,10,892
387,304,11,678
388,161,7,591
389,214,10,1060
390,132,12,1006
391,15,5,303
392,181,12,1411
393,41,13,1357
394,173,7,523
395,210,14,1590
396,409,9,1294
397,97,12,968
398,190,10,1072
399,28,16,1415
400,162,11,865
401,141,11,1271
402,268,7,817
403,376,7,658
404,474,10,630
405,57,14,1304
406,151,9,1039
407,127,9,590
408,214,12,1147
409,94,7,848
410,240,10,1141
411,18,5,560
412,58,6,585
413,95,13,1131
414,21,8,734
415,150,11,845
416,343,9,722
417,140,16,1354
418,234,9,896
419,431,9,676
420,207,8,736
421,182,15,1746
422,184,8,743
423,110,8,808
424,387,7,709
425,402,7,491
426,74,12,1065
427,85,10,832
428,200,7,816
429,119,11,702
430,184,7,591
431,48,12,1343
432,27,7,590
433,86,10,779
434,489,6,619
435,215,10,611
436,109,12,1228
437,453,7,819
438,222,10,720
439,188,7,765
440,119,7,430
441,474,9,810
442,309,7,579
443,375,15,1404
444,73,7,686
445,198,10,632
446,104,9,1204
447,140,10,987
448,117,17,1507
449,462,7,613
450,64,12,883
451,143,11,1079
452,116,9,653
453,112,17,1352
454,411,9,805
455,70,9,596
456,164,8,711
457,154,6,615
458,65,10,904
459,176,6,565
460,97,14,1386
461,178,10,879
462,52,12,1230
463,68,7,466
464,226,7,431
465,96,10,1037
466,162,13,1374
467,49,6,523
468,47,7,717
469,117,11,1048
470,59,12,1243
471,32,12,979
472,66,9,800
473,92,7,627
474,123,13,1366
475,51,10,996
476,106,14,1418
477,216,6,524
478,187,7,497
479,194,15,1500
480,54,12,1342
481,48,12,1330
482,476,9,778
483,215,13,1488
484,47,7,858
485,511,6,660
486,120,9,842
487,486,4,352
488,75,10,1377
489,173,6,663
490,134,12,1074
491,87,13,1411
492,450,8,1054
493,231,12,1584
494,189,8,908
495,353,11,1386
496,70,11,1079
497,60,9,863
498,151,8,920
499,44,8,872
500,237,10,1049
501,177,11,971
502,281,12,1072
503,101,9,1035
504,162,10,1185
505,184,14,1535
506,167,13,1344
507,152,11,1101
508,241,11,965
509,106,10,726
510,5,13,1009
511,88,17,1370
512,191,10,744
513,133,8,895
514,174,8,1054
515,434,10,657
516,173,10,747
517,121,17,1503
518,69,10,861
519,141,11,1082
520,24,5,683
521,19,10,845
522,308,7,787
523,94,7,755
524,49,11,702
525,151,12,1165
526,15,4,368
527,143,7,604
528,207,6,613
529,166,10,1471
530,184,14,1225
531,244,6,884
532,108,9,974
533,191,13,1597
534,293,7,554
535,100,13,1550
536,136,14,1109
537,208,11,958
538,182,12,831
539,18,9,814
540,69,11,992
541,156,6,555
542,51,14,1207
543,109,5,427
544,323,12,1215
545,220,6,476
546,29,4,185
547,43,7,720
548,617,5,485
549,35,12,938
550,159,8,765
551,218,11,879
552,573,6,399
553,149,9,1004
554,129,10,1497
555,444,10,808
556,355,6,793
557,549,7,738
558,63,14,1624
559,85,12,978
560,148,10,913
561,145,9,1221
562,81,11,941
563,45,7,872
564,39,12,1232
565,199,14,1197
566,82,12,883
567,80,12,1374
568,28,14,1262
569,244,9,919
570,96,11,1094
571,142,11,846
572,129,11,1280
573,68,12,980
574,470,6,540
575,489,5,459
576,123,6,547
577,3,14,1477
578,62,12,1122
579,163,6,576
580,422,6,479
581,462,5,347
582,471,6,418
583,108,5,387
584,56,10,805
585,37,15,1579
586,189,5,284
587,329,3,440
588,8,12,1477
589,197,6,678
590,112,11,944
591,166,3,370
592,154,8,788
593,99,12,960
594,253,10,768
595,269,16,1437
596,72,11,633
597,192,15,1137
598,129,15,1758
599,287,6,667
600,57,15,1871
601,234,11,1353
602,21,8,801
603,86,7,669
604,219,11,931
605,20,8,753
606,91,8,959
607,114,14,1402
608,414,12,1018
609,57,10,768
610,15,8,925
611,235,8,1101
612,448,6,546
613,393,5,416
614,163,9,779
615,89,15,1206
616,178,7,604
617,48,11,1413
618,436,16,1842
619,78,10,984
620,60,10,801
621,614,4,525
622,109,8,738
623,413,8,560
624,150,10,1195
625,356,6,739
626,196,8,839
627,111,10,958
628,316,9,991
629,392,5,487
630,229,4,272
631,334,5,332
632,113,8,983
633,133,14,1167
634,185,8,858
635,161,11,938
636,184,10,857
637,119,12,1113
638,36,12,1154
639,361,12,814
640,315,8,770
641,65,10,1033
642,69,9,833
643,389,8,770
644,153,5,550
645,164,6,566
646,172,12,803
647,147,10,840
648,137,14,1468
649,55,8,1022
650,40,9,977
651,390,11,1218
652,265,5,488
653,231,10,948
654,117,7,547
655,43,10,1270
656,83,12,1384
657,310,10,1282
658,141,9,916
659,77,11,1036
660,117,11,1263
661,157,12,1126
662,172,14,1547
663,223,8,775
664,602,7,495
665,214,8,960
666,30,7,498
667,84,8,634
668,232,6,575
669,210,11,834
670,230,13,1719
671,190,8,701
672,502,3,228
673,193,11,969
674,211,5,507
675,278,9,587
676,60,11,934
677,15,12,1048
678,470,1,70
679,235,5,824
680,253,7,757
681,138,11,1026
682,451,6,448
683,103,6,503
684,382,13,1520
685,501,7,786
686,202,14,1396
687,148,9,872
688,7,16,1606
689,166,11,1098
690,70,14,1500
691,19,15,1300
692,97,10,1005
693,185,12,997
694,103,11,1207
695,16,12,884
696,149,12,853
697,295,12,901
698,97,13,1029
699,151,7,419
700,272,10,947
701,112,8,758
702,487,6,518
703,265,9,935
704,59,5,719
705,129,11,1041
706,167,14,1424
707,163,9,695
708,296,4,187
709,90,9,640
710,41,11,1023
711,148,9,630
712,468,4,393
713,343,9,1029
714,168,11,1094
715,245,13,1354
716,148,9,832
717,183,14,1288
718,164,9,732
719,96,14,1399
720,137,5,551
721,200,12,830
722,38,6,494
723,301,8,631
724,102,9,922
725,336,5,532
726,139,6,337
727,294,8,830
728,401,12,1105
729,91,15,1630
730,404,11,867
731,109,8,1000
732,134,9,747
733,96,12,1189
734,50,12,1291
735,85,12,993
736,212,4,239
737,128,15,1362
738,264,11,1261
739,73,6,442
740,163,15,1291
741,455,10,1149
742,3,7,709
743,177,8,695
744,93,9,747
745,184,8,809
746,67,11,1031
747,16,14,1519
748,300,9,933
749,115,7,581
750,32,11,902
751,114,8,652
752,138,15,977
753,327,9,777
754,87,11,1359
755,138,13,966
756,193,15,1516
757,44,9,1151
758,106,8,485
759,19,9,1189
760,478,7,807
761,131,11,935
762,249,5,802
763,275,8,939
764,14,4,317
765,205,17,1598
766,245,9,1123
767,100,19,1274
768,139,9,794
769,77,15,1579
770,161,6,644
771,106,12,1288
772,204,14,1350
773,446,9,891
774,145,12,1200
775,229,9,653
776,108,4,230
777,219,7,633
778,179,9,917
779,459,9,960
780,88,16,1319
781,415,13,1298
782,62,11,901
783,56,6,604
784,118,14,1105
785,395,9,997
786,60,14,1263
787,34,9,561
788,556,9,1131
789,36,7,818
790,251,8,980
791,167,10,862
792,182,10,777
793,581,8,705
794,83,15,1544
795,114,16,1586
796,219,8,900
797,147,19,1793
798,165,10,924
799,116,18,1268
800,155,9,1015
801,302,6,535
802,469,5,655
803,78,10,732
804,60,9,722
805,46,15,1395
806,150,8,846
807,199,10,903
808,122,15,1506
809,125,10,719
810,147,9,1356
811,122,12,993
812,92,8,884
813,188,8,669
814,142,9,923
815,160,6,749
816,117,8,508
817,53,12,1100
818,249,13,1674
819,398,9,768
820,308,6,486
821,46,12,1191
822,216,4,446
823,76,8,612
824,202,8,845
825,202,11,1203
826,77,7,772
827,2,11,994
828,132,8,863
829,53,13,1242
830,35,7,766
831,39,13,1256
832,164,14,1232
833,184,11,1055
834,174,13,1167
835,179,11,1147
836,14,10,1130
837,85,9,593
838,559,5,671
839,23,11,868
840,117,19,1899
841,232,5,315
842,123,10,839
843,174,11,1153
844,338,13,1385
845,147,10,871
846,309,8,583
847,42,9,752
848,41,14,1116
849,183,7,510
850,97,5,386
851,254,6,499
852,148,6,673
853,6,11,979
854,195,12,1158
855,49,18,1730
856,149,12,1063
857,89,7,785
858,93,10,823
859,217,5,158
860,103,5,353
861,391,11,797
862,203,10,1346
863,319,6,446
864,126,18,1695
865,109,8,719
866,108,8,792
867,142,15,1324
868,41,14,1398
869,326,7,385
870,308,8,655
871,34,12,815
872,212,14,1518
873,778,4,437
874,178,10,1125
875,115,19,1525
876,624,6,403
877,172,6,389
878,271,3,410
879,365,9,1034
880,450,12,1314
881,225,9,708
882,81,11,1065
883,41,6,664
884,100,6,483
885,225,7,581
886,215,11,914
887,79,9,932
888,138,10,1068
889,153,7,543
890,212,9,1106
891,90,8,779
892,106,16,1596
893,184,15,1118
894,156,5,626
895,449,10,876
896,36,14,1320
897,269,9,761
898,209,10,1123
899,165,8,464
900,110,11,964
901,65,12,1368
902,232,12,1059
903,67,6,431
904,175,7,746
905,131,12,906
906,104,8,721
907,244,8,1118
908,242,7,553
909,97,7,498
910,474,6,777
911,142,14,1176
912,78,11,1157
913,65,5,621
914,155,8,875
915,512,3,118
916,77,12,1005
917,204,12,1316
918,165,7,561
919,148,7,483
920,41,13,1065
921,268,7,555
922,143,8,886
923,427,7,566
924,125,6,588
925,112,10,645
926,151,10,1035
927,86,12,1163
928,322,11,825
929,252,11,1268
930,141,11,630
931,191,8,1058
932,198,14,1404
933,58,14,1113
934,244,11,1131
935,151,14,1353
936,112,11,1056
937,132,11,1052
938,79,7,882
939,99,9,901
940,14,13,1154
941,132,10,1264
942,138,10,997
943,46,9,759
944,230,8,706
945,229,11,1301
946,64,14,1209
947,97,11,1501
948,151,6,509
949,56,7,915
950,21,8,924
951,16,4,201
952,66,10,616
953,218,15,1656
954,196,5,416
955,197,9,905
956,70,10,911
957,104,16,1663
958,65,11,1050
959,174,12,1028
960,60,14,1239
961,32,16,1606
962,171,9,566
963,100,10,1101
964,223,7,946
965,321,5,436
966,202,10,733
967,207,10,1057
968,109,7,653
969,311,9,700
970,158,5,413
971,267,11,1232
972,3,8,718
973,97,11,1354
974,447,12,1076
975,193,13,1360
976,77,10,1059
977,153,11,1148
978,81,10,1178
979,441,9,729
980,92,15,1285
981,128,9,882
982,82,10,1111
983,104,7,557
984,96,9,918
985,211,9,907
986,226,7,621
987,176,13,1335
988,268,11,1296
989,673,3,342
990,56,9,845
991,42,16,1231
992,113,9,1084
993,132,14,1811
994,177,9,956
995,227,10,1160
996,391,12,774
997,157,6,629
998,390,9,1208
999,366,10,827
1000,20,19,1887
1001,89,4,314
1002,117,7,526
1003,89,16,1510
1004,66,10,1079
1005,192,14,1064
1006,227,5,649
1007,158,8,834
1008,388,7,522
1009,3,10,635
1010,157,12,1011
1011,49,11,1241
1012,17,8,759
1013,169,8,626
1014,429,9,850
1015,128,5,586
1016,512,6,678
1017,113,13,1229
1018,184,10,1059
1019,45,16,1298
1020,111,16,1563
1021,68,12,853
1022,103,13,1487
1023,135,9,1128
1024,109,12,931
1025,98,10,714
1026,131,13,1051
1027,132,9,831
1028,36,11,860
1029,421,8,711
1030,96,16,1507
1031,161,13,1034
1032,138,12,1383
1033,196,6,689
1034,308,8,719
1035,120,14,1286
1036,38,13,932
1037,184,14,1647
1038,488,5,317
1039,182,13,1017
1040,311,6,584
1041,81,14,1146
1042,421,6,622
1043,337,10,835
1044,46,9,933
1045,129,13,1421
1046,39,14,1364
1047,249,12,995
1048,136,10,1078
1049,77,15,1678
1050,133,12,878
1051,389,10,670
1052,414,19,1671
1053,66,12,812
1054,122,10,760
1055,77,10,1231
1056,426,9,837
1057,162,9,767
1058,61,10,719
1059,169,11,1083
1060,170,14,1108
1061,31,8,661
1062,222,9,806
1063,265,11,1266
1064,225,12,1197
1065,511,11,1156
1066,217,6,697
1067,304,5,349
1068,245,6,480
1069,235,11,700
1070,134,17,1379
1071,330,10,915
1072,406,9,743
1073,197,6,604
1074,120,11,953
1075,34,7,753
1076,76,7,838
1077,142,9,915
1078,112,13,1058
1079,103,12,1031
1080,227,10,884
1081,103,14,1491
1082,199,12,983
1083,206,8,414
1084,605,3,326
1085,24,16,1854
1086,56,14,1395
1087,121,7,584
1088,156,6,566
1089,67,12,927
1090,272,6,849
1091,177,10,724
1092,62,14,1167
1093,259,7,875
1094,537,7,631
1095,165,8,740
1096,404,11,1298
1097,184,5,505
1098,214,10,741
1099,201,10,786
1100,197,9,707
1101,124,7,765
1102,53,7,516
1103,108,11,1003
1104,233,12,1232
1105,158,7,596
1106,75,11,1129
1107,222,9,1006
1108,96,9,1008
1109,62,13,1245
1110,186,12,659
1111,92,18,1702
1112,261,8,740
1113,270,7,953
1114,143,9,883
1115,199,8,1049
1116,87,7,539
1117,571,4,362
1118,287,8,902
1119,60,20,1695
1120,266,9,790
1121,250,12,1507
1122,80,11,1194
1123,127,13,1168
1124,51,9,992
1125,22,18,2271
1126,71,10,711
1127,84,15,948
1128,68,10,685
1129,42,5,564
1130,85,13,1297
1131,528,7,842
1132,475,9,1020
1133,464,11,941
1134,97,11,1060
1135,56,10,712
1136,214,8,815
1137,134,14,1430
1138,117,10,759
1139,82,10,1135
1140,129,11,956
1141,163,9,764
1142,237,5,520
1143,28,13,1114
1144,139,5,343
1145,263,11,992
1146,429,5,513
1147,263,8,1003
1148,83,11,956
1149,141,10,865
1150,140,7,657
1151,79,8,859
1152,108,13,1600
1153,425,5,454
1154,271,9,728
1155,182,6,566
1156,43,12,1103
1157,75,11,791
1158,248,8,572
1159,61,10,1038
1160,233,6,842
1161,58,16,1540
1162,507,6,781
1163,106,14,1154
1164,175,12,924
1165,217,16,1423
1166,13,10,856
1167,13,9,767
1168,550,9,683
1169,219,7,608
1170,398,7,669
1171,290,7,580
1172,246,9,724
1173,383,6,502
1174,53,9,776
1175,441,5,456
1176,136,5,225
1177,84,12,1398
1178,180,8,526
1179,54,13,1293
1180,196,13,1308
1181,158,7,546
1182,307,8,513
1183,128,12,1019
1184,96,10,691
1185,4,11,1341
1186,94,19,1998
1187,120,2,55
1188,529,11,890
1189,247,9,678
1190,504,5,798
1191,209,8,781
1192,25,20,1718
1193,66,12,1355
1194,160,10,1239
1195,111,9,923
1196,183,10,884
1197,75,11,866
1198,63,7,637
1199,448,9,695
1200,15,9,604
1201,59,11,1059
1202,485,9,493
1203,134,11,1202
1204,37,9,732
1205,113,12,1167
1206,191,7,661
1207,28,12,1022
1208,160,11,1060
1209,126,10,966
1210,129,6,605
1211,587,3,492
1212,214,10,900
1213,98,12,1423
1214,160,7,707
1215,185,24,2132
1216,413,13,1167
1217,220,8,1043
1218,58,11,691
1219,308,3,266
1220,187,9,657
1221,139,12,1187
1222,46,9,879
1223,123,8,716
1224,213,9,1039
1225,367,12,1176
1226,173,14,1254
1227,92,8,795
1228,155,8,734
1229,217,8,920
1230,377,12,1240
1231,55,9,1218
1232,125,9,862
1233,148,7,973
1234,303,6,586
1235,21,10,794
1236,102,9,992
1237,126,11,1488
1238,199,10,1284
1239,465,12,1623
1240,207,12,872
1241,54,14,1463
1242,146,8,819
1243,71,13,1454
1244,178,8,891
1245,87,14,1097
1246,96,9,801
1247,94,5,434
1248,244,9,1111
1249,224,10,1100
1250,203,9,741
1251,70,16,1649
1252,90,11,1028
1253,225,11,759
1254,98,11,1252
1255,221,12,1335
1256,472,7,978
1257,354,11,1454
1258,140,8,899
1259,122,12,815
1260,416,8,922
1261,160,11,1297
1262,321,9,786
1263,323,7,902
1264,377,9,911
1265,69,5,431
1266,222,3,480
1267,23,13,1045
1268,70,12,1137
1269,358,9,813
1270,96,6,801
1271,276,9,784
1272,101,12,1045
1273,143,10,849
1274,243,6,546
1275,217,12,1321
1276,125,7,923
1277,145,9,852
1278,129,10,1105
1279,101,8,505
1280,230,16,1305
1281,500,6,549
1282,23,10,1017
1283,93,11,927
1284,485,9,768
1285,486,14,1753
1286,208,6,598
1287,311,12,1119
1288,216,14,1177
1289,181,8,911
1290,97,17,1486
1291,130,11,706
1292,238,11,974
1293,505,4,382
1294,199,11,1269
1295,411,12,1256
1296,145,9,889
1297,190,13,882
1298,577,4,441
1299,75,8,737
1300,445,8,759
1301,235,10,863
1302,87,5,463
1303,46,11,1218
1304,26,12,918
1305,154,9,814
1306,105,9,653
1307,145,10,838
1308,71,11,843
1309,186,7,697
1310,254,10,770
1311,177,13,1249
1312,184,9,922
1313,136,14,1154
1314,402,7,595
1315,170,11,1013
1316,197,11,1124
1317,34,17,1641
1318,165,14,1455
1319,56,15,1630
1320,129,6,821
1321,415,5,343
1322,195,12,1205
1323,183,11,829
1324,282,11,1053
1325,13,10,894
1326,147,10,966
1327,403,11,1109
1328,75,17,2101
1329,121,5,341
1330,448,3,274
1331,669,2,79
1332,104,10,1318
1333,190,12,682
1334,238,7,658
1335,344,12,1525
1336,246,10,905
1337,173,6,499
1338,239,7,612
1339,132,10,1190
1340,90,12,1162
1341,69,14,1803
1342,126,8,933
1343,66,13,1093
1344,211,9,748
1345,268,6,524
1346,326,11,908
1347,163,10,672
1348,169,3,309
1349,33,9,675
1350,547,10,944
1351,127,4,364
1352,235,5,437
1353,78,13,1351
1354,61,12,1216
1355,420,16,1140
1356,375,8,685
1357,121,5,436
1358,64,11,1209
1359,115,14,1391
1360,171,8,666
1361,449,10,833
1362,84,12,1137
1363,175,7,962
1364,206,15,1398
1365,221,8,805
1366,242,11,996
1367,36,12,1371
1368,217,11,1092
1369,187,12,1315
1370,142,6,585
1371,130,5,645
1372,577,5,678
1373,323,9,600
1374,312,12,993
1375,69,7,741
1376,162,7,833
1377,87,8,1120
1378,500,14,1239
1379,189,12,1030
1380,414,11,1251
1381,528,7,479
1382,126,10,1282
1383,255,8,656
1384,370,13,1069
1385,46,10,1087
1386,84,12,1027
1387,518,7,634
1388,55,11,1038
1389,69,11,1150
1390,220,7,769
1391,113,10,558
1392,412,10,855
1393,24,8,605
1394,228,9,802
1395,100,14,1820
1396,153,14,1177
1397,368,5,535
1398,494,10,787
1399,565,5,551
1400,87,8,804
1401,125,15,1338
1402,3,13,1074
1403,178,11,757
1404,208,16,1673
1405,392,6,695
1406,210,9,762
1407,231,6,766
1408,142,12,955
1409,387,10,1042
1410,59,11,1377
1411,189,8,876
1412,70,10,1139
1413,209,10,898
1414,29,6,593
1415,236,10,1305
1416,231,14,1540
1417,286,7,663
1418,76,9,770
1419,180,7,697
1420,179,5,245
1421,170,9,858
1422,96,10,1187
1423,144,14,1151
1424,198,11,860
1425,71,10,1166
1426,137,13,1232
1427,176,14,1413
1428,530,4,220
1429,452,8,878
1430,85,13,1475
1431,152,17,1577
1432,135,11,941
1433,268,5,572
1434,231,4,384
1435,80,5,500
1436,165,12,1309
1437,91,12,1179
1438,58,11,849
1439,198,8,676
1440,190,11,1036
1441,102,7,712
1442,128,10,780
1443,474,10,962
1444,223,13,1193
1445,12,7,842
1446,452,6,691
1447,227,14,1367
1448,114,14,1459
1449,231,7,939
1450,427,7,646
1451,36,11,1254
1452,163,10,934
1453,380,6,726
1454,173,19,2422
1455,267,5,463
1456,226,8,411
1457,102,10,704
1458,323,10,824
1459,129,14,1455
1460,584,4,259
1461,111,12,1349
1462,497,8,791
1463,112,9,944
1464,207,10,1112
1465,95,10,1292
1466,6,15,1432
1467,200,8,513
1468,232,8,643
1469,50,10,1151
1470,319,4,491
1471,100,8,786
1472,117,4,529
1473,171,9,762
1474,188,9,895
1475,60,8,757
1476,189,7,804
1477,202,11,847
1478,247,6,779
1479,94,11,1258
1480,76,4,566
1481,42,8,718
1482,80,9,883
1483,196,8,878
1484,112,4,236
1485,285,12,1023
1486,155,9,942
1487,119,12,975
1488,181,13,1696
1489,60,15,1434
1490,108,11,1042
1491,282,10,787
1492,292,9,924
1493,219,11,1052
1494,537,5,289
1495,146,8,732
1496,149,14,993
1497,179,7,752
1498,124,13,1139
1499,44,12,1247
1500,477,10,922
1501,272,10,840
1502,534,6,519
1503,46,7,751
1504,246,7,580
1505,305,7,447
1506,158,10,1002
1507,67,6,524
1508,89,12,1084
1509,258,14,1558
1510,236,12,1304
1511,60,18,1465
1512,106,12,1027
1513,19,11,942
1514,70,15,1328
1515,254,12,1097
1516,85,12,1250
1517,147,12,1362
1518,103,7,492
1519,51,17,1839
1520,80,14,1672
1521,88,6,468
1522,96,4,556
1523,245,10,825
1524,347,8,1016
1525,209,11,728
1526,82,12,966
1527,21,13,1328
1528,68,12,1332
1529,81,10,930
1530,172,7,895
1531,162,13,1268
1532,217,4,250
1533,132,6,596
1534,191,9,1018
1535,108,15,1445
1536,34,11,1425
1537,124,7,648
1538,417,11,815
1539,199,10,1036
1540,125,13,1250
1541,162,9,1032
1542,417,6,371
1543,149,11,1346
1544,90,7,718
1545,89,5,340
1546,123,9,895
1547,279,8,576
1548,58,12,1240
1549,158,16,1640
1550,214,8,681
1551,99,7,759
1552,579,6,555
1553,136,11,1069
1554,119,8,639
1555,183,13,903
1556,174,10,732
1557,133,11,1240
1558,161,17,1908
1559,148,15,1473
1560,266,14,1012
1561,157,9,817
1562,19,11,1414
1563,273,7,824
1564,237,13,1186
1565,152,12,1415
1566,322,4,357
1567,121,15,1388
1568,91,8,831
1569,168,11,1365
1570,122,7,908
1571,175,11,806
1572,301,7,728
1573,114,11,771
1574,76,10,1011
1575,3,12,924
1576,330,10,576
1577,490,10,973
1578,121,16,1158
1579,564,6,492
1580,135,8,854
1581,81,12,1120
1582,506,11,1185
1583,444,3,446
1584,46,13,1193
1585,83,9,725
1586,23,12,1625
1587,121,11,886
1588,443,7,821
1589,102,8,356
1590,230,14,1124
1591,214,15,1774
1592,30,11,1153
