price,PoolArea,GarageCars,Fireplaces,TotRmsAbvGrd,Baths,SqFeet,CentralAir,Age,LotSize,BldgType,HouseStyle,condition
91,0,1,0,5,1,988,Y,36,1596,Twnhs,SLvl,5
135.75,0,1,0,4,1,952,Y,52,8475,1Fam,1Story,7
127,0,1,0,6,1,1285,Y,60,8635,1Fam,1.5Fin,5
110,0,2,0,5,2,1230,Y,99,10440,1Fam,2Story,6
193.5,0,1,1,8,3,2142,Y,41,13000,1Fam,2Story,6
153.5,0,2,0,5,2,1337,Y,8,4500,TwnhsE,1Story,5
245,0,3,1,6,2,1563,Y,1,10206,1Fam,1Story,5
126.5,0,2,0,6,2,1065,Y,47,8892,1Fam,1Story,5
168.5,0,2,1,7,3,1474,Y,14,8530,1Fam,SLvl,5
260,0,2,1,9,3,2417,Y,15,16059,1Fam,2Story,5
174,0,2,1,6,3,1560,Y,4,11911,1Fam,2Story,5
164.5,0,2,0,4,3,1224,Y,0,3951,TwnhsE,2Story,5
85,0,0,0,6,1,1526,N,94,8470,1Fam,1.5Fin,2
109.9,0,2,0,4,1,1040,Y,56,7200,1Fam,1Story,5
163.5,0,2,0,5,1,964,Y,88,13360,1Fam,1Story,7
133.9,0,2,1,9,2,2291,N,97,7200,2fmCon,2.5Unf,6
204.75,0,2,0,7,3,1786,Y,10,9337,1Fam,2Story,5
185,0,2,1,6,3,1470,Y,16,9765,1Fam,2Story,8
214,0,2,0,6,2,1588,Y,7,10264,1Fam,1Story,5
94.75,0,1,0,6,1,960,Y,42,10921,1Fam,1Story,5
205,0,2,2,6,2,1610,Y,33,10603,1Fam,1Story,7
178,0,2,1,7,3,1732,Y,25,9206,1Fam,2Story,5
118.964,0,2,0,8,2,1535,Y,30,7018,Duplex,1Story,5
198.9,0,3,0,6,2,1226,Y,1,10402,1Fam,1Story,5
169.5,0,1,2,7,2,1818,Y,76,7758,1Fam,1.5Fin,4
250,0,2,1,9,3,1992,Y,5,9375,1Fam,2Story,5
100,0,1,0,6,1,1047,Y,122,10800,1Fam,1Story,7
115,0,1,0,5,1,789,Y,60,6000,1Fam,1Story,5
115,0,0,0,7,2,1517,N,88,8500,1Fam,1.5Fin,7
190,0,2,1,7,2,1844,Y,33,11751,1Fam,1Story,6
136.9,0,1,0,7,2,1855,Y,52,9525,1Fam,1.5Fin,4
180,0,2,1,7,3,1430,Y,10,7750,1Fam,SLvl,5
383.97,0,3,1,10,3,2696,Y,0,9965,1Fam,2Story,5
217,0,2,2,7,2,2259,Y,54,21000,1Fam,1Story,5
259.5,0,1,1,9,3,2320,Y,62,7259,1Fam,2Story,8
176,0,2,1,5,3,1458,Y,8,3230,TwnhsE,2Story,5
139,0,1,1,6,1,1092,Y,47,11616,1Fam,1Story,5
163.99,0,2,1,8,3,1456,Y,1,8461,1Fam,2Story,5
180,0,2,2,4,1,988,Y,37,21453,1Fam,SLvl,5
100,0,1,0,4,1,1123,Y,68,6060,1Fam,1.5Fin,5
136,0,1,0,5,1,1080,Y,50,9464,1Fam,1Story,7
153.9,0,2,0,5,2,1199,Y,15,7892,TwnhsE,1Story,5
84.5,0,0,0,5,1,754,N,71,6780,2fmCon,1.5Fin,8
155,0,2,1,6,2,1348,Y,40,7590,1Fam,2Story,5
226,0,2,2,8,3,2157,Y,40,14200,1Fam,2Story,6
244,0,2,1,7,3,2054,Y,9,12224,1Fam,2Story,5
150.75,0,2,0,7,1,1327,Y,48,7388,1Fam,1Story,6
220,0,2,0,6,2,1296,Y,8,6853,1Fam,1Story,5
180,0,2,1,7,3,1721,Y,38,10335,1Fam,1Story,6
174,0,2,1,7,2,1682,Y,38,10400,1Fam,1Story,6
143,0,1,1,5,2,1214,Y,40,10355,1Fam,1Story,5
171,0,3,0,9,3,1959,Y,18,11070,Duplex,1Story,5
230,0,3,2,7,3,1852,Y,9,9066,1Fam,2Story,5
231.5,0,2,0,7,3,1764,Y,12,15426,1Fam,2Story,5
115,0,0,1,5,1,864,Y,39,10500,1Fam,1Story,5
260,0,2,0,7,2,1734,Y,1,11645,1Fam,1Story,5
166,0,2,0,6,2,1385,Y,58,8520,1Fam,1.5Fin,4
204,0,2,0,6,2,1501,Y,10,10335,1Fam,1Story,5
125,0,2,0,10,2,1728,Y,43,9100,Duplex,1Story,5
105,0,1,0,5,1,875,Y,78,6120,1Fam,1Story,7
141,0,0,0,6,1,1080,Y,4,7500,1Fam,1Story,5
115,0,1,0,7,1,1344,Y,70,6240,1Fam,1.5Fin,4
122,0,2,0,5,2,969,Y,32,10356,1Fam,1Story,6
372.402,0,3,1,6,2,1710,Y,1,13891,1Fam,1Story,5
190,0,2,1,8,3,1993,Y,35,14803,1Fam,2Story,5
235,0,2,1,4,1,1252,Y,48,13500,1Fam,1Story,7
79,0,0,0,5,1,1096,N,84,9600,1Fam,1.5Fin,5
109.5,0,2,0,5,1,1040,Y,56,7200,1Fam,1Story,7
269.5,0,3,1,8,3,1968,Y,1,12003,1Fam,2Story,5
254.9,0,2,1,8,3,1947,Y,6,12552,1Fam,2Story,5
320,0,2,1,9,3,2462,Y,1,19378,1Fam,2Story,5
162.5,0,2,0,6,2,1232,Y,24,11120,1Fam,1Story,6
412.5,0,3,2,10,3,2668,Y,5,13688,1Fam,2Story,5
220,0,2,1,7,2,1541,Y,5,12182,1Fam,1Story,5
103.2,0,0,0,4,1,882,Y,51,5500,1Fam,1.5Unf,6
152,0,1,0,5,2,1616,Y,81,5400,1Fam,1Story,7
127.5,0,0,0,6,2,1355,Y,68,10106,2fmCon,1.5Fin,7
190,0,1,3,7,1,1867,Y,54,10708,1Fam,1Story,5
325.624,0,3,1,8,2,2161,Y,0,10562,1Fam,2Story,5
183.5,0,2,1,7,3,1720,Y,3,8244,1Fam,2Story,5
228,0,2,1,6,3,1707,Y,25,16669,1Fam,1Story,6
128.5,0,2,0,7,2,1382,Y,66,12358,1Fam,1.5Fin,6
215,0,2,2,7,1,1656,Y,50,31770,1Fam,1Story,5
239,0,2,1,5,2,1767,Y,19,5306,TwnhsE,2Story,7
163,0,2,1,6,2,1362,Y,47,10197,1Fam,1Story,5
184,0,2,1,7,2,1651,Y,22,12416,1Fam,1Story,5
211,0,2,1,8,3,2060,Y,19,10029,1Fam,2Story,5
172.5,0,2,1,8,2,1920,Y,48,13650,1Fam,1.5Fin,5
501.837,0,3,1,9,2,2234,Y,1,17423,1Fam,1Story,5
100,0,2,0,5,1,968,Y,84,8520,1Fam,1Story,6
177,0,2,1,5,3,1525,Y,7,2117,Twnhs,2Story,5
200.1,0,1,1,9,2,1802,Y,86,7588,1Fam,2Story,6
200,0,2,0,6,3,2082,Y,5,11426,1Fam,1.5Fin,5
475,0,3,2,12,3,3608,Y,114,22950,1Fam,2.5Fin,9
173,0,2,0,6,2,1217,Y,19,9947,1Fam,SLvl,5
286,0,2,1,5,2,1593,Y,7,4923,TwnhsE,1Story,5
315,0,2,2,10,3,2727,Y,75,10570,1Fam,2Story,8
184,0,2,0,7,2,1479,Y,35,7472,1Fam,2Story,9
192,0,2,0,6,2,1431,Y,10,9017,1Fam,1Story,5
130,0,2,0,7,2,1709,Y,2,2522,Twnhs,2Story,5
127,0,1,0,5,1,864,Y,36,7180,1Fam,1Story,7
148.5,0,2,1,7,3,1456,Y,33,2280,Twnhs,2Story,6
311.872,0,3,1,8,2,1726,Y,0,9416,1Fam,1Story,5
235,512,2,1,8,2,3112,Y,88,25419,1Fam,2Story,4
104,0,0,0,8,1,2229,Y,97,5520,1Fam,2.5Fin,6
274.9,0,3,1,7,2,1713,Y,5,9591,1Fam,1Story,5
140,0,2,0,5,2,1121,Y,7,8546,1Fam,1Story,5
171.5,0,2,2,6,2,1279,Y,31,10125,1Fam,1Story,6
112,0,1,0,6,2,1310,Y,82,7000,1Fam,1.5Fin,6
149,0,2,1,3,1,848,Y,4,4438,TwnhsE,1Story,5
110,0,1,0,5,2,1284,Y,62,3500,1Fam,1.5Fin,7
141,0,1,1,6,1,1100,Y,48,12493,1Fam,1Story,5
277,0,2,1,7,3,2062,Y,19,14364,1Fam,2Story,5
145,0,2,0,6,1,1092,Y,44,8250,1Fam,1Story,7
98,0,0,0,5,1,864,N,83,5604,1Fam,1Story,6
161.75,0,1,0,6,2,1392,Y,33,10900,1Fam,2Story,7
134.45,0,1,1,6,1,1236,Y,49,10011,1Fam,1Story,6
210,0,2,0,8,2,1436,Y,4,8450,1Fam,1Story,5
107,0,1,0,8,1,1328,N,81,9906,1Fam,2Story,4
311.5,0,2,2,8,2,1954,Y,69,15660,1Fam,1.5Fin,9
167.24,0,2,0,5,2,1248,Y,1,3010,TwnhsE,1Story,5
204.9,0,2,0,5,2,1498,Y,0,8990,1Fam,1Story,5
200,0,2,1,8,3,2267,Y,7,8068,1Fam,2Story,5
179.9,0,2,1,6,3,1552,Y,31,11475,1Fam,2Story,6
386.25,0,3,1,8,2,2392,Y,6,13472,1Fam,1Story,5
112,0,1,0,6,3,1302,Y,38,1680,Twnhs,2Story,5
125,0,1,1,5,1,912,Y,43,8521,1Fam,1Story,5
192.5,0,2,1,7,2,1555,Y,4,3182,TwnhsE,1Story,5
403,0,3,1,9,3,2794,Y,14,15138,1Fam,2Story,5
94.5,0,1,1,5,2,987,Y,34,1680,Twnhs,2Story,5
89.5,0,1,0,5,2,987,Y,37,1680,TwnhsE,2Story,3
185.5,0,2,0,6,2,1414,Y,6,8773,1Fam,1Story,5
194.5,0,2,0,7,3,1744,Y,17,9453,1Fam,2Story,7
262.5,0,2,0,7,2,1566,Y,2,9000,1Fam,1Story,5
110.5,0,0,0,4,1,866,Y,62,3880,1Fam,1Story,9
120,0,1,1,6,2,1217,Y,29,10762,TwnhsE,2Story,6
205,0,2,2,8,3,2110,Y,16,8880,1Fam,2Story,5
241.5,0,2,1,6,2,1872,Y,18,10400,1Fam,1Story,5
137,0,1,0,9,2,1928,N,96,9142,2fmCon,2Story,8
180,0,2,0,8,3,1668,Y,4,11317,1Fam,2Story,5
277,0,2,2,7,2,2144,Y,49,159000,1Fam,1.5Fin,7
76.5,0,0,0,6,1,1306,Y,70,5350,1Fam,1Story,2
235,0,2,1,5,2,1625,Y,1,4750,TwnhsE,1Story,5
173,0,2,0,6,3,1640,Y,4,8366,1Fam,2Story,5
158,0,1,0,7,2,1302,Y,43,9350,1Fam,SLvl,7
145,0,1,0,5,1,1314,Y,53,8400,1Fam,1Story,6
230,0,2,1,8,3,2291,Y,7,8738,1Fam,2Story,5
207.5,0,2,0,7,3,1728,Y,5,8791,1Fam,2Story,5
220,0,2,1,8,3,1604,Y,3,8814,1Fam,1Story,5
231.5,0,2,1,7,3,1792,Y,7,12435,1Fam,2Story,5
151,0,2,1,6,1,1212,Y,29,8471,1Fam,SLvl,7
130,0,2,0,6,1,1316,Y,81,5500,1Fam,1.5Fin,7
175.5,0,2,1,7,2,1422,Y,27,12090,1Fam,1Story,6
185,0,2,1,8,3,1511,Y,9,11207,1Fam,2Story,5
179.5,0,1,1,8,3,2192,Y,69,8400,1Fam,2.5Fin,8
148,0,1,1,6,2,1113,Y,31,7917,1Fam,1Story,7
266,0,3,1,8,3,1939,Y,0,10728,1Fam,2Story,5
290,0,3,1,9,3,2270,Y,11,11764,1Fam,2Story,7
124.5,0,1,0,5,1,816,Y,25,8314,1Fam,1Story,7
205,0,2,0,5,3,1548,N,84,7264,1Fam,1.5Fin,7
201,0,2,0,7,2,1560,Y,7,9196,1Fam,1Story,5
141,0,2,0,4,1,864,Y,59,19138,1Fam,1Story,5
415.298,0,3,1,8,3,2121,Y,1,14450,1Fam,1Story,5
192,0,2,1,8,3,2022,Y,31,10005,1Fam,2Story,5
185,0,2,0,5,2,1262,Y,0,7200,1Fam,1Story,5
207.5,0,2,1,6,2,1314,Y,2,5063,Twnhs,1Story,5
244.6,0,3,1,6,2,1468,Y,1,9612,1Fam,1Story,5
179.2,0,2,0,5,2,1575,Y,15,8012,TwnhsE,1Story,5
164.7,0,2,0,5,3,1250,Y,1,4251,TwnhsE,2Story,5
88,0,0,0,5,1,858,Y,35,8125,1Fam,1Story,4
122,0,1,0,5,1,900,Y,43,9819,1Fam,1Story,5
153.575,0,1,0,7,1,1396,Y,92,8730,1Fam,2Story,7
233.23,0,2,1,8,3,1919,Y,0,15611,1Fam,2Story,5
135.9,0,0,0,9,2,1716,N,96,5687,2fmCon,2Story,6
131,0,1,1,8,2,1716,Y,60,11409,1Fam,1.5Fin,4
235,0,2,1,9,3,2263,Y,29,16659,1Fam,2Story,7
142.5,0,2,0,6,1,1003,Y,22,7937,1Fam,SLvl,6
152,0,1,0,6,2,1558,Y,57,13710,1Fam,1.5Fin,5
239,0,2,1,7,3,1950,Y,10,7399,1Fam,2Story,5
158.5,0,1,1,6,1,1152,Y,59,14000,1Fam,1Story,8
157,0,1,2,5,1,1336,Y,53,15750,2fmCon,1Story,5
267,0,2,1,9,3,2452,Y,9,16226,1Fam,2Story,5
205,0,3,1,6,2,1541,Y,5,13704,1Fam,1Story,5
149.9,0,2,0,5,1,894,Y,34,9800,1Fam,1Story,7
295,0,3,1,10,3,3493,Y,128,18386,1Fam,2.5Fin,9
305.9,0,3,0,8,2,2000,Y,3,10386,1Fam,1Story,5
225,0,3,1,8,3,2243,Y,17,13474,1Fam,2Story,5
89.5,0,0,0,6,1,1406,Y,88,7920,1Fam,1.5Fin,7
82.5,0,2,0,4,1,861,Y,69,12342,1Fam,1Story,5
360,0,3,3,8,2,1944,Y,3,12378,1Fam,1Story,5
165.6,0,2,1,6,3,1501,Y,13,7685,1Fam,2Story,5
132,0,1,1,5,1,972,Y,61,8000,1Fam,1Story,6
375,0,2,2,8,2,2036,Y,44,215245,1Fam,1Story,5
178,0,2,1,6,2,1641,Y,81,9600,1Fam,2Story,7
188.5,0,2,1,6,3,1432,Y,5,7795,1Fam,2Story,5
270,0,3,1,8,3,1959,Y,1,9000,1Fam,2Story,5
187.5,0,2,2,6,2,1472,Y,29,14115,1Fam,SLvl,5
342.643,0,3,0,9,4,2596,Y,0,16259,1Fam,2Story,5
354,0,3,1,10,3,2468,Y,3,12099,1Fam,2Story,5
301,0,2,1,8,3,2730,Y,21,10380,1Fam,2Story,5
126.175,0,1,0,6,1,1163,Y,51,5820,1Fam,1Story,8
87,0,2,0,5,1,803,N,66,5000,1Fam,1.5Unf,6
324,0,2,2,6,2,1719,Y,15,10846,TwnhsE,1Story,5
145.25,0,1,0,7,2,1383,Y,46,11600,1Fam,1Story,5
78,0,1,0,6,1,1192,N,89,6402,1Fam,2Story,5
119,0,1,0,10,2,1728,Y,43,10624,Duplex,1Story,4
139,0,1,0,6,1,1056,Y,49,8176,1Fam,1Story,6
192,0,2,2,7,3,1638,Y,10,9042,1Fam,2Story,5
228.95,0,2,2,7,2,1786,Y,43,164660,2fmCon,1.5Fin,6
377.426,0,3,1,8,2,1922,Y,2,14157,1Fam,1Story,5
214,0,2,0,7,2,1536,Y,6,9135,1Fam,1Story,5
155,0,1,0,6,1,1215,Y,51,12400,1Fam,1Story,7
202.9,0,2,0,9,3,1908,Y,8,14191,1Fam,2Story,5
82,0,1,0,4,1,841,Y,59,8400,1Fam,1Story,4
266,0,2,1,6,2,1684,Y,3,8849,TwnhsE,1Story,5
140.2,0,1,1,6,1,1577,Y,67,6435,1Fam,1.5Fin,5
151.5,0,1,0,5,1,958,Y,47,12772,1Fam,1Story,8
157.5,0,2,2,6,2,1478,Y,49,17600,1Fam,1Story,5
154,0,2,0,6,3,1626,Y,5,2448,Twnhs,2Story,5
437.154,0,3,2,10,3,2728,Y,1,20431,1Fam,2Story,5
318.061,0,2,1,6,2,1869,Y,0,7820,TwnhsE,1Story,5
190,0,2,1,6,2,1453,Y,20,5271,1Fam,1Story,5
95,0,1,0,5,1,1111,N,67,9084,1Fam,1.5Fin,6
105.9,0,2,0,5,1,720,Y,82,8520,1Fam,1Story,8
140,0,1,2,6,1,1595,Y,66,8400,1Fam,1.5Fin,5
177.5,0,2,0,6,2,1200,Y,12,11249,1Fam,1Story,5
173,0,2,0,6,2,1167,Y,17,9248,1Fam,1Story,6
130,0,1,0,6,1,1352,Y,48,6930,1Fam,SLvl,4
280,0,2,1,7,3,1924,Y,8,12011,1Fam,2Story,5
145,0,1,0,8,1,1505,Y,68,9144,1Fam,1.5Fin,5
118,0,1,0,5,2,987,Y,37,1680,Twnhs,2Story,8
147,0,1,0,6,1,1344,Y,89,10690,1Fam,2Story,7
159,0,2,2,6,2,1394,Y,46,9500,1Fam,1Story,5
165,0,1,1,6,1,1431,Y,46,9150,1Fam,SLvl,5
132,0,1,1,7,1,1268,Y,56,7800,1Fam,1Story,6
162,0,2,1,7,1,1287,Y,51,9830,1Fam,1Story,7
172.4,0,2,1,7,3,1664,Y,6,8121,1Fam,2Story,5
134.432,0,2,1,7,2,1588,Y,49,17120,1Fam,1.5Fin,4
125,0,1,0,4,1,752,Y,26,7175,TwnhsE,1Story,5
219.5,0,2,1,8,3,1928,Y,4,8200,1Fam,2Story,5
61,0,0,0,4,1,904,N,87,10020,1Fam,1Story,1
148,0,2,0,5,1,914,Y,10,8846,1Fam,SFoyer,5
340,0,2,1,8,3,2466,Y,3,11143,1Fam,2Story,5
394.432,0,3,1,8,2,1856,Y,0,11394,1Fam,1Story,2
187.75,0,2,1,5,2,1301,Y,0,7200,1Fam,1Story,5
213.5,0,2,0,8,3,1797,Y,1,9245,1Fam,2Story,5
76,0,2,0,5,1,784,N,81,9000,1Fam,1.5Unf,3
192,0,2,1,6,2,1269,Y,6,3182,TwnhsE,1Story,5
125,0,1,1,6,1,1125,Y,33,7200,1Fam,SLvl,6
191,0,2,0,6,2,1479,Y,9,9382,1Fam,1Story,5
426,0,3,1,9,3,2332,Y,1,12474,1Fam,2Story,5
119,0,1,0,7,1,1367,Y,108,8405,1Fam,1.5Fin,8
106.5,0,1,0,5,1,882,Y,48,8339,1Fam,1Story,7
109,0,1,0,5,1,1034,Y,67,10134,1Fam,1.5Fin,6
129,0,1,0,6,1,1144,Y,54,9571,1Fam,1Story,6
169.5,0,1,1,8,2,1812,Y,45,7590,1Fam,2Story,5
67,0,1,0,6,1,1077,Y,87,8967,1Fam,1Story,2
241,0,2,0,7,2,1550,Y,3,8125,1Fam,2Story,5
245.5,0,2,2,4,2,1288,Y,12,14963,TwnhsE,1Story,5
164.99,0,2,1,6,2,1310,Y,1,8767,1Fam,1Story,5
108,0,1,0,4,1,672,Y,68,10200,1Fam,1Story,8
168,0,2,1,7,3,1572,Y,12,10364,1Fam,2Story,5
150,0,2,1,8,2,1620,Y,33,9991,1Fam,1Story,4
115,0,1,0,6,1,1639,Y,72,10480,1Fam,1.5Fin,5
177,0,1,0,8,2,1680,Y,93,15576,1Fam,2Story,7
280,0,3,1,9,3,2172,Y,1,14154,1Fam,2Story,5
339.75,0,3,1,8,3,2078,Y,1,10800,1Fam,2Story,5
60,0,1,0,5,1,1276,Y,51,9571,1Fam,1Story,3
145,0,2,0,5,1,1056,N,51,34650,2fmCon,1Story,5
222,0,2,1,7,3,1478,Y,1,4403,1Fam,1Story,5
228,0,3,1,9,3,2097,Y,15,11228,1Fam,2Story,5
181.134,0,2,0,6,2,1340,Y,0,8899,1Fam,1Story,5
149.5,0,2,1,6,2,1400,Y,28,7844,1Fam,2Story,7
239,0,3,1,10,3,2624,N,89,22420,1Fam,2Story,6
142,0,1,1,6,1,1056,Y,42,8450,1Fam,1Story,6
206.3,0,4,0,8,2,1344,Y,11,7060,Duplex,SFoyer,5
215,0,2,1,8,2,1602,Y,32,16635,1Fam,1Story,7
315,0,3,1,8,3,2630,Y,10,9200,1Fam,2Story,5
139,0,1,1,6,1,1196,Y,52,9000,1Fam,1Story,5
135,0,1,2,6,2,1389,Y,63,3378,1Fam,2Story,8
109.008,0,1,0,5,1,907,Y,51,8593,1Fam,1Story,6
175,0,2,1,6,2,1412,Y,21,11457,1Fam,1Story,5
85.4,0,1,0,4,2,987,Y,37,1680,Twnhs,2Story,5
122.5,0,2,0,6,2,1365,Y,36,1920,TwnhsE,2Story,5
181,0,2,1,7,3,1604,Y,11,10839,1Fam,2Story,5
81,0,0,0,3,1,630,Y,36,1890,Twnhs,SFoyer,7
212,0,2,1,6,3,1661,Y,13,10667,1Fam,2Story,6
116,0,2,0,6,1,1118,Y,86,4400,1Fam,1.5Fin,8
119,0,1,0,4,1,904,Y,83,6000,1Fam,1.5Unf,7
90.35,0,1,1,4,1,694,N,94,4280,1Fam,1Story,6
110,0,2,0,7,1,1196,Y,89,12354,1Fam,1.5Fin,8
555,0,3,2,10,2,2402,Y,1,15431,1Fam,1Story,5
162.9,0,2,1,8,2,1573,Y,78,6240,1Fam,1.5Fin,7
172.5,0,3,1,6,2,1258,Y,1,3922,TwnhsE,1Story,5
210,0,2,1,8,3,1908,Y,14,8750,1Fam,2Story,5
127.5,0,2,1,7,1,1689,Y,53,9855,1Fam,1Story,5
190,0,2,1,6,3,1888,Y,44,16492,1Fam,1Story,6
119.5,0,1,1,7,2,1376,Y,69,8600,1Fam,1.5Fin,6
120,0,1,0,6,2,1183,Y,59,6000,1Fam,1.5Fin,7
110,0,1,0,5,1,813,Y,76,5684,1Fam,1Story,8
280,0,2,2,5,2,1533,Y,31,70761,1Fam,1Story,5
204,0,2,0,7,3,1756,Y,11,9303,1Fam,2Story,5
210,0,2,0,6,3,1590,Y,1,9000,1Fam,2Story,5
188,0,2,0,8,2,1728,Y,30,9297,Duplex,1Story,5
175.5,0,2,1,6,2,1242,Y,34,9600,1Fam,1Story,6
256,0,2,2,6,1,1663,Y,54,53227,1Fam,1Story,6
161,0,1,1,7,1,1666,Y,83,5100,1Fam,2Story,7
110,0,1,1,5,1,1203,Y,59,7015,1Fam,1.5Fin,4
263.435,0,2,0,8,3,1935,Y,0,8004,1Fam,2Story,5
155,0,2,0,6,1,1135,Y,73,7200,1Fam,2Story,9
62.383,0,1,1,5,1,864,Y,44,8281,1Fam,1Story,5
188.7,0,1,1,6,2,1660,Y,74,11988,1Fam,2Story,7
124,0,0,0,5,2,1040,Y,31,8430,1Fam,1Story,5
167,0,2,1,5,1,1277,Y,37,10628,1Fam,1Story,5
250,0,3,1,7,2,1634,Y,1,11428,1Fam,1Story,5
187,0,2,0,7,3,1710,Y,15,9291,1Fam,2Story,5
212,0,2,0,4,2,1502,Y,25,6820,TwnhsE,1Story,5
190,0,2,1,8,3,1969,Y,30,11952,1Fam,2Story,6
148,0,2,0,5,1,1072,Y,3,3675,TwnhsE,SLvl,5
251,0,2,0,6,2,1652,Y,7,5330,TwnhsE,1Story,5
132.5,0,2,0,5,1,970,Y,44,8480,1Fam,1Story,6
208.9,0,2,1,7,2,1493,Y,11,13125,1Fam,1Story,5
380,0,3,1,9,3,2643,Y,1,13693,1Fam,2Story,5
297,0,3,1,7,2,1718,Y,2,10637,1Fam,1Story,5
89.471,0,2,0,7,1,1131,Y,70,5925,1Fam,1Story,7
326,0,3,1,8,2,1850,Y,2,16033,1Fam,1Story,5
374,0,3,1,6,2,1792,Y,3,11846,1Fam,1Story,5
155,0,1,1,7,2,1826,Y,94,2500,1Fam,2Story,8
164,0,2,0,5,2,1216,Y,8,4500,Twnhs,1Story,5
132.5,0,1,0,6,1,999,Y,45,7758,1Fam,1Story,7
147,0,1,1,5,1,1113,Y,59,9600,1Fam,1Story,7
156,0,2,0,6,2,1073,Y,42,10289,1Fam,1Story,7
