hero,comic
WEREWOLF BY NIGHT,COC 1
PEATOR,COC 1
VISION,COC 1
MOON KNIGHT,COC 1
COLOSSUS II,COC 1
FALCON,COC 1
TEXAS TWISTER,COC 1
HAWK,COC 1
RED GHOST,COC 1
WONDER MAN,COC 1
BEAST,COC 1
"PEREGRINE, LE",COC 1
BLACK KNIGHT V,COC 1
MOONDRAGON,COC 1
DAREDEVIL,COC 1
SNOWBIRD,COC 1
SUNFIRE,COC 1
"ROM, SPACEKNIGHT",COC 1
SHANNA,COC 1
ICEMAN,COC 1
GORGON [INHUMAN],COC 1
GARGOYLE II,COC 1
THOR,COC 1
NIGHTHAWK,COC 1
BLACK BOLT,COC 1
VALINOR,COC 1
WASP,COC 1
IRON FIST,COC 1
CAPTAIN BRITAIN,COC 1
BROTHER VOODOO,COC 1
KA-ZAR,COC 1
MR. FANTASTIC,COC 1
ARABIAN KNIGHT,COC 1
HUMAN TORCH,COC 1
MACHINE MAN,COC 1
SHAMROCK,COC 1
MEDUSA,COC 1
AJAK,COC 1
DOC SAMSON,COC 1
SHAMAN,COC 1
"O'BRIEN, MICHAEL",COC 1
VANGUARD,COC 1
WOLVERINE,COC 1
DAZZLER II,COC 1
TALISMAN,COC 1
TRITON,COC 1
PALADIN,COC 1
LIVING MUMMY,COC 1
FANDRAL [ASGARDIAN],T 208
VOLSTAGG,T 208
4-D MAN,T 208
BALDER [ASGARDIAN],T 208
THOR,T 208
SIF,T 208
"JARVIS, EDWIN",T 208
ODIN [ASGARDIAN],T 208
VISION,T 208
HILDEGARDE [ASGARDIA,T 208
HOGUN [ASGARDIAN],T 208
KARNILLA [ASGARDIAN],T 208
HEIMDALL [ASGARDIAN],T 214
HOGUN [ASGARDIAN],T 214
4-D MAN,T 214
ODIN [ASGARDIAN],T 214
TANA NILE,T 214
HILDEGARDE [ASGARDIA,T 214
FANDRAL [ASGARDIAN],T 214
THOR,T 214
SIF,T 214
KARNILLA [ASGARDIAN],T 214
"GRANT, SILAS",T 214
"GRANT, SILAS",T 215
ODIN [ASGARDIAN],T 215
TANA NILE,T 215
FANDRAL [ASGARDIAN],T 215
4-D MAN,T 215
KARNILLA [ASGARDIAN],T 215
THOR,T 215
HILDEGARDE [ASGARDIA,T 215
HOGUN [ASGARDIAN],T 215
SIF,T 215
HEIMDALL [ASGARDIAN],T 215
FANDRAL [ASGARDIAN],T 216
TANA NILE,T 216
ODIN [ASGARDIAN],T 216
HEIMDALL [ASGARDIAN],T 216
SIF,T 216
HOGUN [ASGARDIAN],T 216
HILDEGARDE [ASGARDIA,T 216
THOR,T 216
"GRANT, SILAS",T 216
BALDER [ASGARDIAN],T 216
VOLSTAGG,T 216
KARNILLA [ASGARDIAN],T 216
4-D MAN,T 216
GREY GARGOYLE,T 440
"ZARRKO, ARTHUR",T 440
DEMONSTAFF,T 440
THOR IV,T 440
LOKI [ASGARDIAN],T 440
TYRUS,T 440
4-D MAN,T 440
"STEELE, MARCY MASTER",T 440
SERVITOR,T 440
"PARETSKY, DR. GARY",T 440
"STEELE, BOBBY",T 440
"SAPRISTI, JERRY",T 440
EXECUTIONER II,T 440
UROC,T 440
COBRA,T 440
BETA RAY BILL,T 440
"MASTERSON, KEVIN",T 440
"AUSTIN, SUSAN",T 440
THUNDERSTRIKE,T 440
SHATTERFIST,T 440
CAPTAIN MARVEL,CM 51
CAPTAIN AMERICA,CM 51
"JAMESON, J. JONAH",CM 51
IRON MAN,CM 51
4-D MAN,CM 51
"JARVIS, EDWIN",CM 51
SCARLET WITCH,CM 51
BEAST,CM 51
MINERVA [KREE],CM 51
"JONES, RICHARD MILHO",CM 51
VISION,CM 51
DRAGONFLY,Q 14
OVERMIND,Q 14
"BALLANTINE, KAYLA",Q 14
4-D MAN,Q 14
BI-BEAST II,Q 14
RED GUARDIAN III,Q 14
EGO-PRIME,Q 14
"TANAKA, KENJIRO",Q 14
MAKKARI,Q 14
DR. SPECTRUM,Q 14
STRANGER,Q 14
JAKAR,Q 14
POWER PRINCESS,Q 14
ARCANNA,Q 14
SHANGA,Q 14
CHARM,Q 14
TRUTH,Q 14
QUASAR III,Q 14
BEAUTY,Q 14
LADY LARK,Q 14
MOONDRAGON,Q 14
WHIZZER II,Q 14
SHAPE,Q 14
HAYWIRE,Q 14
STARDUST,Q 14
SERGEI,Q 14
HYPERION,Q 14
MOONDRAGON,Q 16
EON,Q 16
STRANGER,Q 16
4-D MAN,Q 16
DRAGONFLY,Q 16
ARCANNA,Q 16
POWER PRINCESS,Q 16
LADY LARK,Q 16
STARDUST,Q 16
QUASAR III,Q 16
DIAMONDHEAD,Q 16
HYPERION,Q 16
WHIZZER II,Q 16
MAKKARI,Q 16
BI-BEAST II,Q 16
DR. SPECTRUM,Q 16
OVERMIND,Q 16
TEN FOR,Q 16
"FURY, COL. NICHOLAS",CA3 36
"FERRARI, CONNIE",CA3 36
CAPTAIN AMERICA,CA3 36
4-D MAN,CA3 36
"SHERIDAN, RICHARD RI",SLEEP 2
"CONOVER, ALYSSA",SLEEP 2
8-BALL,SLEEP 2
SLEEPWALKER,SLEEP 2
RAMBO,SLEEP 1
"SHERIDAN, RICHARD RI",SLEEP 1
"BAYLOR, FRANK",SLEEP 1
SLEEPWALKER,SLEEP 1
"CONOVER, ALYSSA",SLEEP 1
"MCMURRAY, YVONNE",SLEEP 1
8-BALL,SLEEP 1
"EPSTEIN, MORRIS",SLEEP 1
"EPSTEIN, MRS.",SLEEP 1
"SHERIDAN, RICHARD RI",SLEEP 19
8-BALL,SLEEP 19
COBWEB,SLEEP 19
UPLINK,SLEEP 19
WEAK LINK,SLEEP 19
SLEEPWALKER,SLEEP 19
MISSING LINK II,SLEEP 19
RAMBO,SLEEP 19
"CONOVER, ALYSSA",SLEEP 19
"COOPER, WHITNEY III",SLEEP 19
MASTER LINK,SLEEP 19
ROGUE ,W2 159
A,W2 159
WOLVERINE,W2 159
MR. X,W2 159
BLOK,W2 159
NIGHTCRAWLER,W2 159
T,W2 159
COLOSSUS II,W2 159
BLOK,W2 160
SABRETOOTH,W2 160
MR. X,W2 160
A,W2 160
WOLVERINE,W2 160
T,W2 160
MR. X,W2 161
NIGHTCRAWLER,W2 161
BLOK,W2 161
T,W2 161
A,W2 161
WOLVERINE,W2 161
BARAK,XCAL 110
RA'AL,XCAL 110
CAPTAIN BRITAIN,XCAL 110
MEGGAN,XCAL 110
"WISDOM, PETER",XCAL 110
WOLFSBANE,XCAL 110
SPIRAL,XCAL 110
SHADOWCAT,XCAL 110
COLOSSUS II,XCAL 110
NIGHTCRAWLER,XCAL 110
XIANDU,XCAL 110
A'YIN,XCAL 110
A'YIN,XCAL 109
"MACTAGGERT, MOIRA KI",XCAL 109
MEGGAN,XCAL 109
SHADOWCAT,XCAL 109
CAPTAIN BRITAIN,XCAL 109
NIGHTCRAWLER,XCAL 109
BARAK,XCAL 109
"WISDOM, PETER",XCAL 109
COLOSSUS II,XCAL 109
SPIRAL,XCAL 109
RA'AL,XCAL 109
WOLFSBANE,XCAL 109
XIANDU,XCAL 109
MEGGAN,XCAL 107
BARAK,XCAL 107
WOLFSBANE,XCAL 107
CAPTAIN BRITAIN,XCAL 107
A'YIN,XCAL 107
"RASPUTIN, NIKOLAI",XCAL 107
"MACTAGGERT, MOIRA KI",XCAL 107
MAGIK,XCAL 107
NIGHTCRAWLER,XCAL 107
"CRAIG, REV.",XCAL 107
PROFESSOR X,XCAL 107
COLOSSUS II,XCAL 107
"RASPUTINA, ALEXANDRA",XCAL 107
CYPHER,XCAL 107
"WISDOM, PETER",XCAL 107
SPIRAL,XCAL 107
RA'AL,XCAL 107
SHADOWCAT,XCAL 107
BARAK,XCAL 108
COLOSSUS II,XCAL 108
CAPTAIN BRITAIN,XCAL 108
A'YIN,XCAL 108
XIANDU,XCAL 108
WOLFSBANE,XCAL 108
SHAMROCK,XCAL 108
MEGGAN,XCAL 108
RA'AL,XCAL 108
"WISDOM, PETER",XCAL 108
SPIRAL,XCAL 108
"SZARDOS, MARGALI",XCAL 108
CYPHER,XCAL 108
DAYTRIPPER,XCAL 108
NIGHTCRAWLER,XCAL 108
SHADOWCAT,XCAL 108
KINGPIN,DD/SM 1
DAREDEVIL,DD/SM 1
GLADIATOR,DD/SM 1
COPPERHEAD IV,DD/SM 1
OWL,DD/SM 1
STILT-MAN,DD/SM 1
"ABBOTT, JACK",DD/SM 1
SPIDER-MAN,DD/SM 1
"FITZGERALD, KENNY",DD/SM 1
GATEWAY,W2 52
HUNTER IN DARKNESS,W2 52
MOJO,W2 52
MYSTIQUE,W2 52
SPIRAL,W2 52
ABCISSA,W2 52
ALBERT,W2 52
WOLVERINE,W2 52
PLASMA WRAITH,W2 52
ELSIE DEE,W2 52
JUBILEE,W2 52
THING,W2 53
JUBILEE,W2 53
MYSTIQUE,W2 53
MOJO,W2 53
ELSIE DEE,W2 53
SPIRAL,W2 53
"FURY, COL. NICHOLAS",W2 53
BEAST,W2 53
GAMBIT,W2 53
HUNTER IN DARKNESS,W2 53
MR. FANTASTIC,W2 53
WOLVERINE,W2 53
ALBERT,W2 53
ABCISSA,W2 53
BOOMER,XFOR 108
BEDLAM,XFOR 108
TRAVELER,XFOR 108
THUNDERBIRD II,XFOR 108
CANNONBALL II,XFOR 108
DOMINO III,XFOR 108
ABEL,XFOR 108
CHARLIE,XFOR 108
"WISDOM, PETER",XFOR 108
"TSUNG, MARCUS",XFOR 108
BAKER,XFOR 108
CANNONBALL II,XFOR 109
CHARLIE,XFOR 109
"TSUNG, MARCUS",XFOR 109
BOOMER,XFOR 109
"WISDOM, ROMANY",XFOR 109
BEDLAM,XFOR 109
THUNDERBIRD II,XFOR 109
"WISDOM, PETER",XFOR 109
BAKER,XFOR 109
ABEL,XFOR 109
DOMINO III,XFOR 109
HULK,H3 25
ABOMINATION,H3 25
"ROSS, GEN. THADDEUS",H3 25
"DORNOVA-BLONSKY, NAD",H3 25
DOC SAMSON,H3 25
"LIPSCOMB, DR. ANGELA",H3 25
"BANNER, BETTY ROSS T",TTA 90/2
HULK,TTA 90/2
"ROSS, GEN. THADDEUS",TTA 90/2
"TALBOT, GLENN",TTA 90/2
ABOMINATION,TTA 90/2
"TALBOT, GLENN",TTA 91/2
"BANNER, BETTY ROSS T",TTA 91/2
STRANGER,TTA 91/2
"ROSS, GEN. THADDEUS",TTA 91/2
"JONES, RICHARD MILHO",TTA 91/2
ABOMINATION,TTA 91/2
HULK,TTA 91/2
SILVER SURFER,SS 12
ABOMINATION,SS 12
ABOMINATION,T 178
SIF,T 178
STRANGER,T 178
ODIN [ASGARDIAN],T 178
THOR,T 178
"WILSON, JIM",H2 136
"ROSS, GEN. THADDEUS",H2 136
HULK,H2 136
"BANNER, BETTY ROSS T",H2 136
"TALBOT, GLENN",H2 136
ABOMINATION,H2 136
HULK,H2 137
ABOMINATION,H2 137
HULK,H2 159
"ROSS, GEN. THADDEUS",H2 159
ABOMINATION,H2 159
RHINO,H2 159
LEADER,H2 159
HULK,H2 171
RHINO,H2 171
"ARMBRUSTER, COLONEL",H2 171
"ROSS, GEN. THADDEUS",H2 171
"WILSON, JIM",H2 171
"BANNER, BETTY ROSS T",H2 171
ABOMINATION,H2 171
DOC SAMSON,H2 194
"QUARTERMAIN, CLAY",H2 194
LOCUST,H2 194
HULK,H2 194
"ROSS, GEN. THADDEUS",H2 194
"BANNER, BETTY ROSS T",H2 194
ABOMINATION,H2 194
"QUARTERMAIN, CLAY",H2 195
"ROSS, GEN. THADDEUS",H2 195
HULK,H2 195
"TALBOT, GLENN",H2 195
DOC SAMSON,H2 195
"BANNER, BETTY ROSS T",H2 195
ABOMINATION,H2 195
"BANNER, BETTY ROSS T",H2 196
DOC SAMSON,H2 196
"ROSS, GEN. THADDEUS",H2 196
HULK,H2 196
"QUARTERMAIN, CLAY",H2 196
ABOMINATION,H2 196
"JONES, RICHARD MILHO",H2 270
QNAX,H2 270
HULK,H2 270
DARK CRAWLER,H2 270
BEREET,H2 270
TORGO,H2 270
"BANNER, BETTY ROSS T",H2 270
ABOMINATION,H2 270
HULK,H2 287
BEREET,H2 287
ABOMINATION,H2 287
MODOK,H2 287
"ROSS, GEN. THADDEUS",H2 287
JACK OF HEARTS,H2 278
RED WOLF III,H2 278
LEADER,H2 278
VECTOR,H2 278
IRONCLAD,H2 278
COLOSSUS II,H2 278
SHE-HULK,H2 278
FALCON,H2 278
"ROSS, GEN. THADDEUS",H2 278
THOR,H2 278
"NORRISS, SISTER BARB",H2 278
PROFESSOR X,H2 278
"JONES, RICHARD MILHO",H2 278
ANGEL,H2 278
BEREET,H2 278
SCARLET WITCH,H2 278
NIGHTCRAWLER,H2 278
INVISIBLE WOMAN,H2 278
"RICHARDS, FRANKLIN B",H2 278
SASQUATCH,H2 278
VAPOR,H2 278
CYCLOPS,H2 278
ABOMINATION,H2 278
SPIDER-MAN,H2 278
HELLCAT,H2 278
MR. FANTASTIC,H2 278
SHADOWCAT,H2 278
"REAGAN, RONALD",H2 278
MACHINE MAN,H2 278
DR. STRANGE,H2 278
FIREBIRD,H2 278
WASP,H2 278
CAPTAIN AMERICA,H2 278
WOLVERINE,H2 278
IRON MAN,H2 278
SHAMAN,H2 278
BLACK PANTHER,H2 278
HULK,H2 278
SNOWBIRD,H2 278
DOC SAMSON,H2 278
VISION,H2 278
IRON FIST,H2 278
HUMAN TORCH,H2 278
DAREDEVIL,H2 278
HAWK,H2 278
WONDER MAN,H2 278
BEAST,H2 278
"BANNER, BETTY ROSS T",H2 278
GUARDIAN,H2 278
"CAGE, LUKE",H2 278
X-RAY,H2 278
THING,H2 278
STORM,H2 278
MODOK,H2 288
"ROSS, GEN. THADDEUS",H2 288
ABOMINATION,H2 288
HULK,H2 288
MODOK,H2 289
HULK,H2 289
"BANNER, BETTY ROSS T",H2 289
ABOMINATION,H2 289
"ROSS, GEN. THADDEUS",H2 289
ABOMINATION,H2 290
HULK,H2 290
MODOK,H2 290
DOC SAMSON,H@ 15
"JONES, RICHARD MILHO",H@ 15
"QUARTERMAIN, CLAY",H@ 15
ABOMINATION,H@ 15
"BANNER, BETTY ROSS T",H@ 15
TYRANNUS,H@ 15
HULK,H@ 15
ELECTRO,SWII 7
ABOMINATION,SWII 7
ABSORBING MAN,SWII 7
MS. MARVEL II,SWII 7
BEYONDER,SWII 7
PHOENIX III,SWII 7
MOLECULE MAN,SWII 7
THING,SWII 7
MEPHISTO,SWII 7
BARON MORDO,SWII 7
SUNSPOT,SWII 7
SPIDER-MAN,SWII 7
JUGGERNAUT,SWII 7
WRECKER III,SWII 7
ETERNITY,SWII 7
VOLCANA,SWII 7
CANNONBALL II,SWII 7
VULTURE,SWII 7
WOLVERINE,SWII 7
ROGUE ,SWII 7
WARLOCK III,SWII 7
SHADOWCAT,SWII 7
KARMA,SWII 7
TITANIA II,SWII 7
"LEEDS, NED",SWII 7
WOLFSBANE,SWII 7
CYPHER,SWII 7
WIZARD,SWII 7
DR. OCTOPUS,SWII 7
"KENT, CLARK",SWII 7
MAGNETO,SWII 7
MAGMA,SWII 7
WHITE QUEEN,SWII 7
COLOSSUS II,SWII 7
KRAVEN THE HUNTER,SWII 7
STORM,SWII 7
DIABLO,SWII 7
RHINO,SWII 7
CITIZEN V II,SWII 7
DEATH,SWII 7
VANISHER,SWII 7
MOCKINGBIRD,WCA2 25
ANT-MAN,WCA2 25
WONDER MAN,WCA2 25
IRON MAN,WCA2 25
FIREBIRD,WCA2 25
ABOMINATION,WCA2 25
FRENCHIE,WCA2 25
TYRANNUS,WCA2 25
MOON KNIGHT,WCA2 25
HAWK,WCA2 25
HAWK,SOLOA 12
TYRANNUS,SOLOA 12
ABOMINATION,SOLOA 12
KINGPIN,ASM@ 23
LLYRA,ASM@ 23
"KENT, CLARK",ASM@ 23
GHAUR [DEVIANT],ASM@ 23
SET,ASM@ 23
"JAMESON, J. JONAH",ASM@ 23
"CUSHING, KATE",ASM@ 23
TYRANNUS,ASM@ 23
"MERCADO, JOY",ASM@ 23
"WATSON-PARKER, MARY",ASM@ 23
SHE-HULK,ASM@ 23
ABOMINATION,ASM@ 23
"PARKER, MAY",ASM@ 23
SPIDER-MAN,ASM@ 23
MAD DOG,ASM@ 23
VIPER II,ASM@ 23
"BANNON, LANCE",ASM@ 23
"CHALMERS, CYNTHIA",M/SH3 6
COLOSSUS II,M/SH3 6
DOC SAMSON,M/SH3 6
STORM,M/SH3 6
ROGUE ,M/SH3 6
ABOMINATION,M/SH3 6
HAVOK,M/SH3 6
WOLVERINE,M/SH3 6
PSYLOCKE,M/SH3 6
WOLVERINE,M/SH3 7
HAVOK,M/SH3 7
"CHALMERS, CYNTHIA",M/SH3 7
STORM,M/SH3 7
"CHALMERS, JUDGE ROBE",M/SH3 7
PSYLOCKE,M/SH3 7
ABOMINATION,M/SH3 7
COLOSSUS II,M/SH3 7
DOC SAMSON,M/SH3 7
ROGUE ,M/SH3 7
"CHALMERS, CYNTHIA",M/SH3 8
PSYLOCKE,M/SH3 8
ROGUE ,M/SH3 8
COLOSSUS II,M/SH3 8
STORM,M/SH3 8
ABOMINATION,M/SH3 8
WOLVERINE,M/SH3 8
HAVOK,M/SH3 8
GATEWAY,M/SH3 8
GREY GARGOYLE,H2 364
MADMAN,H2 364
ABOMINATION,H2 364
HULK,H2 364
"BANNER, BETTY ROSS T",H2 366
REDEEMER,H2 366
HULK,H2 366
MADMAN,H2 366
ROCK,H2 366
OGRESS,H2 366
HOTSHOT,H2 366
JAILBAIT,H2 366
ABOMINATION,H2 366
LEADER,H2 366
DOC SAMSON,H2 366
"BANNER, BETTY ROSS T",H2 382
"JONES, MARLO CHANDLE",H2 382
"JONES, RICHARD MILHO",H2 382
HULK,H2 382
ATALANTA,H2 382
PARIS,H2 382
HECTOR II,H2 382
ACHILLES II,H2 382
ABOMINATION,H2 382
ULYSSES II,H2 382
AJAX,H2 382
"DORNOVA-BLONSKY, NAD",H2 382
ABOMINATION,H2 383
SPIDER-MAN,H2 383
"DORNOVA-BLONSKY, NAD",H2 383
ULYSSES II,H2 383
SILVER SURFER,H2 383
WONG,H2 383
HULK,H2 383
"BANNER, BETTY ROSS T",H2 383
DR. STRANGE,H2 383
"JONES, MARLO CHANDLE",H2 383
"JONES, RICHARD MILHO",H2 383
HULK,H2 384
"DORNOVA-BLONSKY, NAD",H2 384
"BANNER, BETTY ROSS T",H2 384
ABOMINATION,H2 384
"JONES, MARLO CHANDLE",H2 384
SANDY,H@ 20
ABOMINATION,H@ 20
"DORNOVA-BLONSKY, NAD",H@ 20
THUNDERSTRIKE,N 58
"RAHN, TAMARA",N 58
ANDROMEDA,N 58
"DORNOVA-BLONSKY, NAD",N 58
ABOMINATION,N 58
HERCULES [GREEK GOD],N 58
"ALEXANDER, CARRIE",N 58
TRITON,N 58
VISION,N 58
QUICKSILVER,N 58
CAPTAIN AMERICA,N 58
CRYSTAL [INHUMAN],N 58
"MORGAN, DR. VIVIAN",N 58
STINGRAY,N 58
"MAXWELL, DR. WILFRED",N 58
TIGER SHARK,N 58
"LANGSTROM, LIEUTENAN",N 58
SUB-MARINER,N 58
"MORGAN, DR. VIVIAN",N 59
SUB-MARINER,N 59
STINGRAY,N 59
ANDROMEDA,N 59
TRITON,N 59
ABOMINATION,N 59
HULK,H2 431
ABOMINATION,H2 431
SANDY,H2 431
"BANNER, BETTY ROSS T",H2 431
ABOMINATION,H2 432
"BANNER, BETTY ROSS T",H2 432
ANGEL III,H2 432
HULK,H2 432
SANDY,H2 432
"JAMESON, J. JONAH",H2 432
PO,ABOM 2
ABOMINATION,ABOM 2
LIBRITO,ABOM 2
CYBERSLIK,ABOM 2
MOK,ABOM 2
SLEEK,ABOM 2
CHAR,ABOM 2
SHULK,ABOM 2
PREECHA,ABOM 2
KASPIN,ABOM 2
BETTY-6,ABOM 2
QUARRY,ABOM 2
"JONES, JANIS",ABOM 2
ROUST,ABOM 3
QUARRY,ABOM 3
WATTS,ABOM 3
PO,ABOM 3
SHULK,ABOM 3
CYBERSLIK,ABOM 3
SLEEK,ABOM 3
MOK,ABOM 3
MO,ABOM 3
LIBRITO,ABOM 3
ABOMINATION,ABOM 3
JOUST,ABOM 3
FLO,ABOM 3
"JONES, JANIS",ABOM 3
KASPIN,ABOM 3
CHAR,ABOM 3
PREECHA,ABOM 3
BETTY-6,ABOM 3
ROUST,XM 32
X-MAN,XM 32
BUX,XM 32
MARITA,XM 32
ABOMINATION,XM 32
JACKKNIFE,XM 32
JAM,XM 32
ABOMINATION,H2 459
MERCY,H2 459
"ROSS, GEN. THADDEUS",H2 459
"ST. LAWRENCE, COL. C",H2 459
HULK,H2 459
WOLVERINE,X 74
MAGGOTT,X 74
MEANY,X 74
EENY,X 74
BEAST,X 74
"ARMSTRONG, MYRA",X 74
CALLISTO,X 74
ANGEL,X 74
"REYES, DR. CECELIA",X 74
MARROW,X 74
ABOMINATION,X 74
ABOMINATION,H2 474
"BANNER, BETTY ROSS T",H2 474
"SPAR, DR. KATHERINE",H2 474
QNAX,H2 474
HULK,H2 474
"ROSS, GEN. THADDEUS",H2 474
"DEANGELO, DEVLIN",H2 474
"SPAR, DR. KATHERINE",H2 472
"ROSS, GEN. THADDEUS",H2 472
QNAX,H2 472
HULK,H2 472
"DEANGELO, DEVLIN",H2 472
ABOMINATION,H2 472
"DEANGELO, DEVLIN",H2 473
"SPAR, DR. KATHERINE",H2 473
HULK,H2 473
ABOMINATION,H2 473
"ROSS, GEN. THADDEUS",H2 473
QNAX,H2 473
"DORNOVA-BLONSKY, NAD",H3 24
HULK,H3 24
DOC SAMSON,H3 24
"LIPSCOMB, DR. ANGELA",H3 24
"BANNER, BETTY ROSS T",H3 24
"ROSS, GEN. THADDEUS",H3 24
ABOMINATION,H3 24
MOON KNIGHT | MUTANT,MX '01
DRAX | MUTANT X-VERS,MX '01
VOLSTAGG | MUTANT X-,MX '01
WOLVERINE | MUTANT X,MX '01
DR. STRANGE | MUTANT,MX '01
FIN FANG FOOM | MUTA,MX '01
DAREDEVIL | MUTANT X,MX '01
MAN-SPIDER | MUTANT,MX '01
POLARIS | MUTANT X-V,MX '01
ICE-MAN | MUTANT X-V,MX '01
NAMORITA | MUTANT X-,MX '01
RAVEN | MUTANT X-VER,MX '01
HOGUN | MUTANT X-VER,MX '01
DEVIL DINOSAUR | MUT,MX '01
"SUMMERS, SCOTT III |",MX '01
VALKYRIE II | MUTANT,MX '01
SUB-MARINER | MUTANT,MX '01
DRACULA | MUTANT X-V,MX '01
BROTHER VOODOO | MUT,MX '01
HULK | MUTANT X-VERS,MX '01
THOR | MUTANT X-VERS,MX '01
IRON FIST | MUTANT X,MX '01
ABSORBING MAN | MUTA,MX '01
STINGRAY | MUTANT X-,MX '01
ABOMINATION | MUTANT,MX '01
ROGUE | MUTANT X-VER,MX '01
BLACK PANTHER | MUTA,MX '01
CAPTAIN AMERICA | MU,MX '01
BLOODSTORM | MUTANT,MX '01
"RICHARDS, REED | MUT",MX '01
GAMBIT | MUTANT X-VE,MX '01
POWER MAN II | MUTAN,MX '01
HAVOK,MX '01
DR. OCTOPUS | MUTANT,MX '01
BRUTE | MUTANT X-VER,MX '01
STRONG GUY | MUTANT,MX '01
NIGHTCRAWLER | MUTAN,MX '01
BEYONDER | MUTANT X-,MX '01
YELLOWJACKET II | MU,MX '01
GARGOYLE | MUTANT X-,MX '01
BETA RAY BILL | MUTA,MX '01
NOVA | MUTANT X-VERS,MX '01
QUICKSILVER | MUTANT,MX '01
MAGNETO | MUTANT X-V,MX '01
"YASHIDA, MARIKO | MU",MX '01
DR. DOOM | MUTANT X-,MX '01
FANDRAL | MUTANT X-V,MX '01
ELEKTRA | MUTANT X-V,MX '01
"GREY, JEAN | MUTANT",MX '01
MR. FANTASTIC,S-H2 23
"MASON, LOUISE",S-H2 23
SHE-HULK,S-H2 23
"MASON, WANDA",S-H2 23
INVISIBLE WOMAN,S-H2 23
ABOMINATRIX,S-H2 23
CAPTAIN RECTITUDE,S-H2 23
SHE-HULK,S-H2 21
"MASON, LOUISE",S-H2 21
CAPTAIN RECTITUDE,S-H2 21
"MASON, WANDA",S-H2 21
ABOMINATRIX,S-H2 21
SHE-HULK,S-H2 22
CAPTAIN RECTITUDE,S-H2 22
"MASON, WANDA",S-H2 22
ABOMINATRIX,S-H2 22
MR. FANTASTIC,S-H2 22
HUMAN TORCH,FF '01
ETERNITY,FF '01
UATU,FF '01
THING,FF '01
MR. FANTASTIC,FF '01
